date,wind_offshore_actual,wind_offshore_fitted,wind_offshore_lower,wind_offshore_upper
2024-12-20 00:00:00+00:00,,4391.81989932371,1105.650796358442,17453.868579302933
2024-12-20 01:00:00+00:00,,4435.3322347427,1113.2719713222725,17617.825968055837
2024-12-20 02:00:00+00:00,,4500.0556006263105,1130.3987294671813,17892.72047260957
2024-12-20 03:00:00+00:00,,4440.911558874096,1111.7246409539703,17702.823288796175
2024-12-20 04:00:00+00:00,,4514.111958107576,1121.5483003486415,18037.03750329088
2024-12-20 05:00:00+00:00,,4554.412540616066,1129.8617707753106,18246.479212681617
2024-12-20 06:00:00+00:00,,4329.792553393047,1077.3623876013585,17352.113209342326
2024-12-20 07:00:00+00:00,,3930.2522009055397,977.9762431223267,15727.32137913617
2024-12-20 08:00:00+00:00,,3603.7585410069114,898.6923659563374,14406.215947754848
2024-12-20 09:00:00+00:00,,3592.5335508508747,894.7260787872432,14353.817946610925
2024-12-20 10:00:00+00:00,,3641.3960487999157,903.0487970890363,14570.471717446218
2024-12-20 11:00:00+00:00,,3716.421554631824,923.337271769833,14921.571222919682
2024-12-20 12:00:00+00:00,,4122.257968227436,1023.7286728933196,16530.976011770203
2024-12-20 13:00:00+00:00,,4264.876963472124,1060.7731898583068,17095.855645305128
2024-12-20 14:00:00+00:00,,4627.680049671805,1154.9988359465433,18556.294304550756
2024-12-20 15:00:00+00:00,,5011.518289806855,1260.3634678508092,20041.94969741686
2024-12-20 16:00:00+00:00,,5580.860604259756,1406.5243493521373,22286.595414576168
2024-12-20 17:00:00+00:00,,5994.3500652297025,1509.9519032086725,23953.624741944102
2024-12-20 18:00:00+00:00,,6049.78335875681,1522.3355633923907,24121.641976662144
2024-12-20 19:00:00+00:00,,6354.018645899622,1595.489770208723,25280.78167511808
2024-12-20 20:00:00+00:00,,6539.267496616087,1640.5515727746433,25966.25821842995
2024-12-20 21:00:00+00:00,,6800.1079819213055,1701.2481333257576,27003.113186891354
2024-12-20 22:00:00+00:00,,6936.035158281495,1725.636551122991,27506.935277108885
2024-12-20 23:00:00+00:00,,7078.1416333413135,1763.1429407972082,28135.446524434188
2024-12-21 00:00:00+00:00,,7235.5808526678165,1808.6367370523246,28803.879377358528
2024-12-21 01:00:00+00:00,,6781.618406067524,1700.3090552548204,27041.422430071427
2024-12-21 02:00:00+00:00,,6734.144774239068,1693.8573159252799,26787.688864394597
2024-12-21 03:00:00+00:00,,6157.616754382013,1547.4023065365122,24518.82839086659
