number,value,params_alpha,params_l1_ratio,state
0,0.9564667870721351,0.19489658567304197,0.6119126924302484,COMPLETE
1,0.9586883959418314,0.767626163119571,0.19634819802997264,COMPLETE
2,0.9553297501192921,0.2845586991184862,0.24538746838321993,COMPLETE
3,0.9565068984938285,0.17174570108333428,0.4101230554216564,COMPLETE
4,0.957309267635423,0.8251794381479788,0.12723634433396688,COMPLETE
5,0.9905472809538056,0.42037469542068145,0.8316298390727479,COMPLETE
6,0.9612363120491872,0.05207736053251957,0.7062609225798477,COMPLETE
7,1.0175687507823903,0.989287290541376,0.881731556566295,COMPLETE
8,0.9591034019386747,0.9451796617831026,0.1488050148478772,COMPLETE
9,0.9659552029795698,0.31783157612318025,0.7474728533319269,COMPLETE
10,0.9652663443047006,0.5838945204010046,0.3673231723211605,COMPLETE
11,0.9560978761656482,0.2294282186400151,0.5752478202459564,COMPLETE
12,0.9589525344150424,0.353192796123719,0.5096613863736239,COMPLETE
13,0.9613660230715523,0.5784041640810758,0.31074430045529094,COMPLETE
14,0.9656225882905499,0.011702413117759158,0.5402587517453584,COMPLETE
15,0.9599821090427214,0.22042182181538048,0.9941315701461267,COMPLETE
16,0.9549147777889523,0.4439784316273134,0.2414110731420055,COMPLETE
17,0.9621215676107158,0.486018929217485,0.01893784681602223,COMPLETE
18,0.961820933556286,0.6598318150948996,0.2688982882860411,COMPLETE
19,0.9588125889455522,0.38345679534868715,0.03957669673663722,COMPLETE
20,0.963752655085605,0.4856541414202089,0.42730823925432665,COMPLETE
21,0.9552152569517836,0.2622366824580942,0.24935252094418842,COMPLETE
22,0.9553852959945971,0.30358833733505003,0.22562519384107937,COMPLETE
23,0.9569282407573654,0.10526461461766046,0.32364959716900754,COMPLETE
24,0.954923791287202,0.29053762192280924,0.1082250940814744,COMPLETE
25,0.955450801899902,0.4439881193072884,0.11490614414624778,COMPLETE
26,0.9612899395689004,0.10262432874213095,0.09340075567346025,COMPLETE
27,0.9557527619061217,0.5817159001427218,0.183810132209787,COMPLETE
28,0.9551066762937991,0.2710466501375127,0.44382585181871814,COMPLETE
29,0.9569195967773719,0.15539045877571206,0.4400347968560257,COMPLETE
30,0.9649081048324375,0.3655696608889729,0.6241169540586832,COMPLETE
31,0.9555204737302647,0.24895006837116396,0.30025536554485577,COMPLETE
32,0.9549746064909914,0.27442707841933955,0.36161619670932954,COMPLETE
33,0.9603653975107151,0.40094582117334876,0.4681513972508082,COMPLETE
34,0.9562726925983105,0.15911468373400917,0.3437517676915968,COMPLETE
35,0.9543236878226526,0.3066052808079468,0.38478011436338866,COMPLETE
36,0.9563183213810691,0.4499478847177009,0.16940939672049232,COMPLETE
37,0.9555187824339392,0.532250800226206,0.09112209599839549,COMPLETE
38,0.9545692426353177,0.3313768846940239,0.37922472298353366,COMPLETE
39,0.9586124007511445,0.7359592611575407,0.20713454904385448,COMPLETE
40,0.9547986419221713,0.3330280239284702,0.3855745391697577,COMPLETE
41,0.9544393309914646,0.32737876075540906,0.3772402489410956,COMPLETE
42,0.9553999228460199,0.3317219182712954,0.40485096321762837,COMPLETE
43,0.9583409732935682,0.4250235218755636,0.3843334950389489,COMPLETE
44,0.9548944808506328,0.3442950920051022,0.28360699010621493,COMPLETE
45,0.957558078472525,0.18241029337872317,0.512857175269351,COMPLETE
46,0.9615783125512808,0.34086671254087436,0.6147143696725753,COMPLETE
47,0.9553743278699105,0.21772861179891545,0.2829077997811176,COMPLETE
48,0.9713785686783755,0.5232679568785265,0.4745187764525777,COMPLETE
49,0.9695605542156477,0.37506693150650783,0.6669995437354619,COMPLETE
