Parameter,Value
compute_heating_degree_hours,False
compute_cooling_degree_hours,True
compute_dew_point_spread,False
compute_temp_gradient,False
compute_wind_chill,True
compute_humidex,False
compute_wind_components,True
compute_wind_power_density,True
compute_pressure_trend,False
compute_wind_speed_gradient,False
compute_air_density,True
compute_rain_indicator,False
compute_cloud_cover_fraction,False
compute_effective_solar,True
temp_lags_option,small
precip_lags_option,medium
cloud_lags_option,none
rolling_temp_option,short
drop_basic_meteo_features,True
drop_wind_meteo_features,True
drop_rad_meteo_features,False
spatial_agg_method,mean
n_estimators,518
learning_rate,0.07485136972195601
max_depth,6
min_child_weight,10
subsample,0.8107056895626301
colsample_bytree,0.6115749046342083
reg_alpha,8.677187875021807e-07
reg_lambda,0.03934488017275042
use_base_models_pred_intervals,False
cv_folds_base,40
