number,value,params_cloud_lags_option,params_colsample_bytree,params_compute_air_density,params_compute_cloud_cover_fraction,params_compute_cooling_degree_hours,params_compute_dew_point_spread,params_compute_effective_solar,params_compute_heating_degree_hours,params_compute_humidex,params_compute_pressure_trend,params_compute_rain_indicator,params_compute_temp_gradient,params_compute_wind_chill,params_compute_wind_components,params_compute_wind_power_density,params_compute_wind_speed_gradient,params_drop_basic_meteo_features,params_drop_rad_meteo_features,params_drop_wind_meteo_features,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_precip_lags_option,params_reg_alpha,params_reg_lambda,params_rolling_temp_option,params_spatial_agg_method,params_subsample,params_temp_lags_option,params_use_base_models_pred_intervals,state
0,1790.893718250559,medium,0.8797066281902617,True,True,True,False,False,False,True,False,False,False,True,True,False,False,True,True,False,0.09035818767235314,6,6,436,none,5.283372062663275e-07,3.926402581352981e-08,long,max,0.8596962494485383,small,False,COMPLETE
1,1656.6816351898167,none,0.6177839900578022,True,True,False,True,False,False,True,False,False,False,False,True,True,True,True,False,False,0.01892305616077082,6,10,576,small,8.247488972280903e-05,1.8545549332958768e-06,long,energy,0.6419595856082259,small,False,COMPLETE
2,1892.368593640569,medium,0.7646877374097685,True,False,True,False,True,True,False,False,True,True,True,False,True,False,False,True,False,0.010220267085213201,9,1,665,none,3.340768188077592e-06,0.00323282064644775,short,max,0.7604767939891297,small,True,COMPLETE
3,2033.0003110831537,none,0.7124195391150381,False,False,True,True,True,False,True,True,False,True,True,True,False,True,False,True,False,0.11755250216874157,3,10,886,small,1.0436124500549536e-08,0.015060529554238094,none,mean,0.7168858763860328,none,True,COMPLETE
4,1844.161462869286,medium,0.959965949591683,True,False,True,False,True,True,False,False,True,True,True,False,False,False,False,True,True,0.18633667695261957,8,1,991,none,0.002126129483108803,1.3583700262109592e-08,short,distance_energy,0.7287204026836147,none,False,COMPLETE
5,1900.6488717394489,medium,0.9964578338527078,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,0.037405841157441645,9,8,703,small,0.0010677526559553685,0.545682527335055,short,energy,0.7313522156507154,medium,False,COMPLETE
6,1734.6513256670485,small,0.5147948327543633,False,False,False,True,True,True,False,True,True,False,False,True,True,False,False,True,True,0.060521578733995766,3,10,604,small,0.0011688334649010406,3.707311843326214e-05,long,mean,0.6851298036722715,small,False,COMPLETE
7,1839.8113855568374,small,0.5881553753310482,True,False,True,False,True,True,False,False,True,False,False,True,False,False,True,True,True,0.01542252549383361,6,4,427,medium,2.5810302783627423e-05,0.36193461271794053,none,energy,0.6871983320219125,small,True,COMPLETE
8,1952.4305278805066,small,0.9648910856437889,False,True,False,False,False,False,False,False,False,False,False,True,False,True,True,True,True,0.08474152211039512,6,4,519,small,0.0014572545501826822,5.447964157927517e-08,long,population,0.7161298346204146,medium,True,COMPLETE
9,1893.462294341385,small,0.8859767795477655,True,False,False,True,False,True,True,True,False,True,False,False,False,False,True,True,False,0.023432936631993303,7,4,456,medium,0.038017236597600895,0.39849774257937876,none,distance_population,0.7268967676948912,none,False,COMPLETE
10,1648.6816777169681,none,0.6580747727939107,False,True,False,True,False,False,True,False,False,False,False,True,True,True,True,False,False,0.031434575600085946,4,8,301,small,0.19379210122111235,5.095057362198262e-06,long,idw,0.5063170007287207,small,False,COMPLETE
11,1624.967274305569,none,0.6762659862358397,False,True,False,True,False,False,True,False,False,False,False,True,True,True,True,False,False,0.029233794279015828,4,8,349,small,0.6518469394763281,7.072270383378093e-06,long,idw,0.5271191989250299,small,False,COMPLETE
12,1660.2828806523532,none,0.7071121438047613,False,True,False,True,False,False,True,False,False,False,False,True,True,True,True,False,False,0.03660083920342057,4,7,311,small,0.8431724281801177,3.6785247887758747e-06,long,idw,0.5231962023745852,small,False,COMPLETE
13,1634.1190617904092,none,0.6390215739178458,False,True,False,True,False,False,True,False,False,False,False,True,True,True,True,False,False,0.03893718008662537,4,8,374,small,0.8098679385016634,0.00013563181871937438,long,idw,0.5141943877535411,small,False,COMPLETE
14,1648.4289249140513,none,0.7905258896871559,False,True,False,True,False,False,True,False,False,False,False,True,True,True,True,False,False,0.054584066856133026,4,8,371,medium,0.03764797131177846,0.0004951024626325544,long,idw,0.5870723002582716,small,False,COMPLETE
15,2014.3104939907723,none,0.5393847621545281,False,True,False,True,False,False,True,False,False,False,False,True,True,True,True,False,False,0.2623074677070167,5,6,763,small,0.028321573283712913,0.00013770110890698527,long,None,0.9625911722559906,medium,False,COMPLETE
