number,value,params_alpha,params_cloud_lags_option,params_compute_air_density,params_compute_cloud_cover_fraction,params_compute_cooling_degree_hours,params_compute_dew_point_spread,params_compute_effective_solar,params_compute_heating_degree_hours,params_compute_humidex,params_compute_pressure_trend,params_compute_rain_indicator,params_compute_temp_gradient,params_compute_wind_chill,params_compute_wind_components,params_compute_wind_power_density,params_compute_wind_speed_gradient,params_drop_basic_meteo_features,params_drop_rad_meteo_features,params_drop_wind_meteo_features,params_l1_ratio,params_lags_target,params_precip_lags_option,params_rolling_temp_option,params_spatial_agg_method,params_temp_lags_option,state
0,2094.4751629991883,0.2517400189022377,medium,True,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,True,0.8141436355334534,1.0,small,none,population,none,COMPLETE
1,1840.941264076977,0.8070153928829015,none,True,True,False,False,False,False,False,True,True,False,True,True,False,True,True,False,True,0.1341668630385786,,medium,short,distance_energy,small,COMPLETE
2,1846.1800179811569,0.19080995730442388,small,False,True,False,False,True,True,True,True,False,True,False,False,True,False,True,False,True,0.12644559897996135,6.0,none,none,population,none,COMPLETE
3,1918.7605729571123,0.6783672810293032,none,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True,True,0.8004307477738833,1.0,small,short,energy,none,COMPLETE
4,1721.6862409350713,0.14684491469739588,medium,True,True,False,False,True,False,True,False,True,True,True,True,True,True,False,True,True,0.3718865852613118,,small,none,idw,medium,COMPLETE
5,1809.1255239885668,0.05622501255655884,small,True,False,True,True,False,False,False,False,True,False,True,False,False,True,False,True,False,0.94381170932759,6.0,small,short,population,medium,COMPLETE
6,1779.7344936969723,0.912590137856899,medium,True,False,False,True,False,True,True,False,True,True,False,True,True,False,True,True,True,0.1108207500796236,6.0,none,long,max,medium,COMPLETE
7,2078.3590204137695,0.9630954739526898,small,False,True,False,True,True,True,False,True,True,True,True,False,True,False,False,True,False,0.5159193985386816,1.0,small,none,population,small,COMPLETE
8,1988.933403661477,0.060198139704218084,medium,True,False,True,False,False,True,True,True,False,False,False,False,True,False,False,False,False,0.16319464609280537,1.0,small,short,idw,medium,COMPLETE
9,1796.4458844335986,0.9587950804673336,small,False,True,False,False,True,True,True,False,True,False,False,False,False,False,True,False,False,0.7144380339597769,,none,short,population,small,COMPLETE
10,1610.8880985088465,0.4464945766140099,medium,False,True,True,True,True,False,True,False,True,True,True,True,True,True,False,True,True,0.38387779456147075,12.0,medium,long,None,medium,COMPLETE
11,1610.8880985088465,0.4634583134238386,medium,False,True,True,True,True,False,True,False,True,True,True,True,True,True,False,True,True,0.3666689695097578,12.0,medium,long,None,medium,COMPLETE
12,1610.8880985088465,0.4285727900879428,medium,False,True,True,True,True,False,True,False,True,True,True,True,True,True,False,True,True,0.37267521362321177,12.0,medium,long,None,medium,COMPLETE
13,1610.8880985088465,0.5004047459979024,medium,False,True,True,True,True,False,True,False,True,True,True,True,True,True,False,True,True,0.4770356982717597,12.0,medium,long,None,medium,COMPLETE
14,1610.8880985088465,0.3733301827671239,medium,False,True,True,True,True,False,True,False,True,True,True,True,True,True,False,True,True,0.2822312379795696,12.0,medium,long,None,medium,COMPLETE
15,1655.9511815412163,0.65109976115786,medium,False,True,True,True,True,False,True,False,True,True,True,True,True,True,False,True,True,0.5640322102823141,12.0,medium,long,mean,medium,COMPLETE
16,1622.961108923718,0.3060736336652089,none,False,True,True,True,True,False,True,False,True,True,True,True,True,True,False,True,True,0.2589575113903038,12.0,medium,long,distance_population,medium,COMPLETE
17,1610.8880985088465,0.5996198393722387,medium,False,True,True,True,True,False,True,False,True,True,True,True,True,True,False,True,True,0.017424770875466067,12.0,medium,long,None,medium,COMPLETE
18,1621.60809685347,0.5351181239649515,medium,False,True,True,True,False,False,True,True,False,True,True,True,True,True,True,True,False,0.6288062635009345,12.0,medium,long,None,none,COMPLETE
19,1648.6480675724363,0.7553613130895962,none,False,True,True,True,True,False,True,False,True,True,True,True,True,True,False,True,True,0.4316710652872432,12.0,medium,long,distance_energy,small,COMPLETE
