number,value,params_cloud_lags_option,params_colsample_bytree,params_compute_air_density,params_compute_air_density_moist,params_compute_clear_sky_fraction,params_compute_cloud_cover_fraction,params_compute_diffuse_ratio,params_compute_direct_ratio,params_compute_dni_ratio,params_compute_global_tilted_ratio,params_dew_point_temperature,params_drop_raw_features,params_drop_raw_solar_features,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_precip_lags_option,params_reg_alpha,params_reg_lambda,params_shortwave_lags_option,params_spatial_agg_method,params_subsample,params_use_base_models_pred_intervals,params_use_solar_geometry,params_vapor_pressure,state
0,296.9752846823735,small,0.677536896890272,False,False,True,True,True,False,True,False,True,True,False,0.010853946889242443,7,47,0.12580879958131597,785,25,large,3.170057128621414e-07,3.2010527535016086e-07,none,max,0.9532250620191234,False,False,True,COMPLETE
1,296.40560632399183,small,0.5413486220160967,False,False,False,True,True,True,False,True,False,True,False,0.13424802812525904,4,22,0.1660628454046097,388,83,none,0.0005125987345306128,2.5932282937979213e-08,large,distance_n_panels,0.5089882250313693,False,False,False,COMPLETE
2,285.40484156095795,none,0.8366451521290772,False,False,False,True,False,False,False,True,False,False,False,0.022931135178873463,11,64,0.2812908288357942,850,31,small,2.7920469005607583e-06,0.3180527678669538,large,mean,0.710192382650227,True,False,True,COMPLETE
3,300.50798814599807,medium,0.6526592480521597,True,True,True,False,True,True,True,True,False,True,False,0.16329102858574915,5,5,0.2563339637525211,361,139,small,3.3541546063997253e-06,0.004205024399709009,none,capacity,0.7588635368642482,False,True,True,COMPLETE
4,295.98249295712486,none,0.8549798310689241,False,True,False,True,False,False,False,False,True,True,False,0.23960618921750443,13,78,0.2554019633174265,768,144,none,0.004251073893281921,1.2923265026941121e-08,large,distance_n_panels,0.7021771017173282,True,False,False,COMPLETE
5,291.01796035647016,medium,0.7835666649820161,True,False,True,False,True,False,False,False,False,True,False,0.1551658658633484,7,42,0.3160459854995224,669,132,none,5.843690032275288e-07,2.7045701939385135e-08,large,mean,0.8178247329254882,False,True,False,COMPLETE
6,280.9200243077382,medium,0.8067490354608562,True,False,False,True,True,True,True,True,True,False,True,0.1243510004674784,15,29,0.24675988920677677,399,55,none,2.2811985482115657e-08,0.0005806835789811083,small,n_panels,0.5710076631813206,False,True,True,COMPLETE
7,287.41042196543793,medium,0.9057915139693349,False,True,False,False,True,False,True,False,True,True,True,0.02707283518661339,11,69,0.36958484970045163,435,149,none,0.39933981818724734,0.008419844494980849,large,max,0.6954605327224919,False,False,True,COMPLETE
8,281.3634053255342,large,0.7081096743564738,False,False,False,False,True,False,True,False,True,False,True,0.032485020688563016,16,86,0.46514346393380673,497,137,small,0.5689307559713154,0.00012387398121001722,none,n_panels,0.6519462215620212,False,False,True,COMPLETE
9,292.7023061352087,none,0.9056000210430859,True,True,False,False,False,False,False,False,True,True,False,0.016363768047003124,6,18,0.12995586494084743,344,59,large,0.041988809255738856,0.0028938484965419747,medium,n_panels,0.6984312765020839,True,False,True,COMPLETE
10,287.72331154772263,large,0.9945406280494782,True,False,True,True,False,True,True,True,True,False,True,0.07163450733362627,15,98,0.017256673237528275,557,92,none,1.0599804274224094e-08,4.627062859938218e-06,small,idw,0.512910970323139,True,True,False,COMPLETE
11,287.32725080767403,large,0.705612038647119,True,False,False,False,True,True,True,True,True,False,True,0.053972569076473575,16,92,0.4820294935551795,999,108,small,8.966278415085273e-05,5.891206855028948e-05,small,n_panels,0.5925928063509805,False,True,True,COMPLETE
12,285.63476510206016,large,0.5897316942002877,True,False,False,False,True,True,True,False,True,False,True,0.06174010289090761,14,34,0.4550387945306139,520,56,small,0.5856617434282261,5.119346210299458e-05,none,n_panels,0.6069448856401388,False,True,True,COMPLETE
13,289.7395736427001,medium,0.7735016142564651,False,False,False,True,True,True,True,True,True,False,True,0.03983678481595648,16,56,0.3873576495580676,515,55,small,0.00017457521949184283,0.0008099533683907822,small,None,0.6072040584967773,False,True,True,COMPLETE
14,299.75047147786864,large,0.6168091100772788,False,False,False,False,True,False,True,True,True,False,True,0.1002386682580375,12,85,0.16883709844502282,634,118,large,1.1004421809691127e-08,0.07426283806673234,medium,distance_capacity,0.5812381460437546,False,False,True,COMPLETE
15,279.36541032112314,medium,0.7169946312228408,True,False,False,True,True,True,True,False,True,False,True,0.03454704869162961,9,26,0.3855323683353063,488,70,none,0.011335814945456291,4.616326738363741e-06,small,n_panels,0.8379820776810809,False,True,True,COMPLETE
16,279.2721643215262,medium,0.8136457998003083,True,False,False,True,True,True,True,True,True,False,True,0.2904897542335858,9,26,0.3509814728653535,314,70,none,0.007407782155970316,2.312909124646793e-06,small,n_panels,0.8782130398029528,False,True,True,COMPLETE
17,286.70190311666573,medium,0.7272845877824201,True,False,False,True,True,True,True,False,True,False,True,0.2942312270657621,9,5,0.4046266646107068,303,69,none,0.009498297775658568,3.4484822775051084e-07,small,distance_capacity,0.8813103544269398,False,True,True,COMPLETE
18,275.86909606724174,medium,0.9066223416527703,True,True,True,True,False,True,True,True,False,False,True,0.043124644492198355,9,18,0.3315851590217719,441,38,none,0.0026979618249989078,4.3378227080747185e-06,small,None,0.963646177104577,True,True,False,COMPLETE
19,268.61930935200485,medium,0.9915941313297918,True,True,True,True,False,True,True,True,False,False,True,0.0851004509123154,8,15,0.31947926778327257,603,37,none,0.0008571352034560903,3.2147137256795513e-06,small,None,0.9974648499885522,True,True,False,COMPLETE
