Parameter,Value
compute_heating_degree_hours,False
compute_cooling_degree_hours,True
compute_dew_point_spread,False
compute_temp_gradient,False
compute_wind_chill,True
compute_humidex,False
compute_wind_components,True
compute_wind_power_density,True
compute_pressure_trend,True
compute_wind_speed_gradient,False
compute_air_density,False
compute_rain_indicator,False
compute_cloud_cover_fraction,False
compute_effective_solar,False
temp_lags_option,small
precip_lags_option,none
cloud_lags_option,small
rolling_temp_option,none
drop_basic_meteo_features,True
drop_wind_meteo_features,True
drop_rad_meteo_features,True
spatial_agg_method,max
lags_target,1
n_estimators,589
learning_rate,0.09033086716548185
num_leaves,11
max_depth,5
min_child_samples,70
subsample,0.9123081615978326
colsample_bytree,0.6422537277042782
reg_alpha,0.0054150176124323855
reg_lambda,0.0003279522254687422
min_split_gain,0.020616586636170553
