number,value,params_colsample_bytree,params_compute_air_density,params_compute_air_density_moiust_air_correction,params_compute_wind_power_density,params_compute_wind_ramp,params_compute_wind_shear,params_dew_point_temperature,params_drop_raw_main_features,params_drop_raw_wind_features,params_encode_wind_direction,params_gust_factor,params_lags_choice,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_precip_lags_choice,params_reg_alpha,params_reg_lambda,params_spatial_agg_method,params_subsample,params_turbulence_window,params_use_base_models_pred_intervals,params_vapor_pressure,state
0,169.8014021867597,0.6419142249582384,True,False,True,True,False,False,False,False,False,False,none,0.17110772985462158,10,7,551,small,6.227012718575977e-05,0.0014430972161157964,idw,0.9190541556757796,2,False,False,COMPLETE
1,152.8091636271924,0.6523475032553543,False,False,False,False,False,False,True,False,False,True,small,0.019388502652208792,7,1,580,small,0.00018738587175011142,1.4691508591179237e-05,mean,0.8808909718099593,0,True,False,COMPLETE
2,149.3607799889991,0.9949505792208189,False,True,False,False,False,False,False,True,True,True,small,0.010073714318942772,6,8,710,none,4.144200315201104e-06,0.07659885783445661,capacity,0.6485508456629037,2,False,True,COMPLETE
3,187.29235436650254,0.779585870460614,False,True,False,False,True,False,True,True,False,True,small,0.10597070667494675,3,3,969,small,1.4472266008671297e-05,0.6856089437101743,distance_n_turbines,0.7268371365167443,2,True,False,COMPLETE
4,154.13962134301548,0.9484933514832157,False,False,False,True,False,True,False,True,True,False,none,0.013439817183967062,8,2,396,small,5.546758923242659e-05,1.8776257864926157e-05,max,0.6702709347176112,2,False,False,COMPLETE
5,162.958773781744,0.9234201188528193,True,True,False,True,True,False,False,True,False,False,none,0.07348413133292275,4,8,923,small,5.755472633823698e-07,1.9482166623696375e-06,mean,0.9497488786432111,0,False,True,COMPLETE
6,140.59283492857173,0.7083582205565989,False,False,True,True,False,True,False,False,False,False,small,0.041359103039932954,7,2,782,large,4.076300212265093e-05,7.728731413043395e-06,None,0.7483855054609617,0,True,True,COMPLETE
7,181.29510710113968,0.5218657703041825,True,True,True,False,False,True,True,False,True,True,none,0.08854898514583585,3,1,772,none,0.0006424287394452646,4.158257761382393e-06,capacity,0.614098151395192,6,False,True,COMPLETE
8,198.96796575286828,0.7319237041059684,False,False,True,True,True,False,True,True,True,False,large,0.2417226582285625,4,7,754,none,0.20636864098667634,0.05300470282443804,max,0.5388656708118931,0,True,True,COMPLETE
9,163.66538125778055,0.8745585254665853,True,True,False,False,False,False,False,True,False,True,small,0.05263253156554929,4,8,355,none,1.8506354067775935e-05,1.1666453221519521e-05,distance_n_turbines,0.5598824515178988,0,True,True,COMPLETE
10,139.92531280716727,0.5166127968164136,False,False,True,True,True,True,False,False,False,False,large,0.03014825399079115,10,4,885,large,0.0063891641627218535,2.6242893700473018e-08,None,0.8064332883804939,6,True,True,COMPLETE
11,138.92766479303523,0.5189280889199459,False,False,True,True,True,True,False,False,False,False,large,0.03304364098808767,10,5,868,large,0.012787589337345591,1.0626257278128797e-08,None,0.8111036096309262,6,True,True,COMPLETE
12,137.35249247219093,0.5309768575480126,False,False,True,True,True,True,False,False,False,False,large,0.02672528258511104,10,5,878,large,0.017437996560157785,2.0875362636074676e-08,None,0.8238013933964884,6,True,True,COMPLETE
13,154.42311585127328,0.6024272396945569,False,False,True,True,True,True,False,False,False,False,large,0.0245417677124998,10,6,861,large,0.5360220990444217,1.0338577329097655e-08,distance_capacity,0.8376494563288197,6,True,True,COMPLETE
14,138.6181249471288,0.5748296480661311,False,False,True,True,True,True,False,False,False,False,large,0.036812657480452454,9,10,984,large,0.014545588743098381,3.557084174398978e-07,None,0.9907901517884133,6,True,True,COMPLETE
15,137.25691043510844,0.5910464735789779,False,False,True,True,True,True,False,False,False,False,large,0.01865183106270379,8,10,994,large,0.0326909564951467,2.398295812384389e-07,None,0.9841506292254993,6,True,True,COMPLETE
16,136.57980597596435,0.5889768460801482,False,False,True,True,True,True,False,False,False,False,large,0.01819971801824569,8,10,646,large,4.132753225410023e-08,1.6021849182874185e-07,None,0.8821613102993031,6,True,True,COMPLETE
17,154.30068824168217,0.7979447488590049,False,False,True,True,True,True,False,False,False,False,large,0.01490951132219089,8,10,471,large,1.533991126577707e-08,2.3579187644870241e-07,idw,0.9973181346579602,6,True,True,COMPLETE
18,163.30383044134047,0.6766028822312142,True,False,True,True,True,True,True,False,True,False,large,0.01017684015711628,8,10,608,large,1.9443259252851518e-08,0.0013117184195950197,distance_capacity,0.8932161531450072,6,True,False,COMPLETE
19,134.32580706935548,0.6009943329840096,False,False,True,True,True,True,False,False,False,False,large,0.019229689403076084,6,9,662,large,3.9147253928846374e-07,2.867263136691504e-07,None,0.9606223833230454,6,True,True,COMPLETE
20,135.41710843387077,0.6283336077524337,False,False,True,True,True,True,False,False,False,False,large,0.019684521087221393,6,9,678,large,1.9131555214314625e-07,0.00011665916000228526,None,0.9270012723627225,6,True,True,COMPLETE
21,135.84429413477255,0.6198254454891915,False,False,True,True,True,True,False,False,False,False,large,0.020379294071418107,6,9,665,large,1.8234044094400272e-07,0.00027412957450409584,None,0.9329777571383749,6,True,True,COMPLETE
22,135.73768786574496,0.6341765994580733,False,False,True,True,True,True,False,False,False,False,large,0.022532769002041677,6,9,691,large,3.4880117527738955e-07,0.00018640245361068784,None,0.9388053676098356,6,True,True,COMPLETE
23,135.75502098183108,0.6949185047672207,False,False,True,True,True,True,False,False,False,False,large,0.04950527157606527,5,9,523,large,9.930200722109741e-07,0.00014594643035406476,None,0.9528088274363122,6,True,True,COMPLETE
24,132.76480142093436,0.5572482337816609,False,False,True,True,True,True,False,False,False,False,large,0.01544862881018643,5,9,700,large,1.171329793082557e-07,0.0004762067225493377,None,0.8611340803979803,6,True,True,COMPLETE
