Parameter,Value
compute_air_density,False
compute_wind_power_density,False
encode_wind_direction,True
compute_wind_shear,True
compute_wind_ramp,False
compute_air_density_moiust_air_correction,False
dew_point_temperature,False
vapor_pressure,True
gust_factor,False
turbulence_window,2
lags_choice,small
precip_lags_choice,none
drop_raw_main_features,False
drop_raw_wind_features,False
spatial_agg_method,capacity
n_estimators,662
learning_rate,0.015612475185817225
max_depth,10
min_child_weight,9
subsample,0.7693271349912942
colsample_bytree,0.6422520462250434
reg_alpha,9.008006697854596e-06
reg_lambda,0.5379345160494698
use_base_models_pred_intervals,False
cv_folds_base,35
