Parameter,Value
compute_air_density,True
compute_wind_power_density,True
encode_wind_direction,False
compute_wind_shear,False
compute_wind_ramp,False
compute_air_density_moiust_air_correction,False
dew_point_temperature,False
vapor_pressure,True
gust_factor,False
turbulence_window,6
lags_choice,small
precip_lags_choice,large
drop_raw_main_features,False
drop_raw_wind_features,False
spatial_agg_method,idw
lags_target,
n_estimators,334
learning_rate,0.12296488672352111
num_leaves,35
max_depth,8
min_child_samples,80
subsample,0.8840738117294631
colsample_bytree,0.8572146223139591
reg_alpha,3.305313831257837e-06
reg_lambda,0.0002169576529648221
min_split_gain,0.4556256099695045
