number,value,params_colsample_bytree,params_compute_air_density,params_compute_air_density_moiust_air_correction,params_compute_wind_power_density,params_compute_wind_ramp,params_compute_wind_shear,params_dew_point_temperature,params_drop_raw_main_features,params_drop_raw_wind_features,params_encode_wind_direction,params_gust_factor,params_lags_choice,params_lags_target,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_precip_lags_choice,params_reg_alpha,params_reg_lambda,params_spatial_agg_method,params_subsample,params_turbulence_window,params_vapor_pressure,state
0,887.9963451312937,0.6170576903731948,True,True,False,True,False,False,False,True,True,True,small,6.0,0.02144611716446277,6,51,0.1276286052094181,781,110,large,3.84848300113751e-06,0.0005568594726568755,capacity,0.9867486503491558,0,False,COMPLETE
1,899.0657988956164,0.6551472663172735,False,False,True,True,True,True,True,False,False,False,small,12.0,0.041565995999329725,14,92,0.1322447691688703,816,46,none,0.6226770801156807,0.00012737941298330475,None,0.690455717083834,2,True,COMPLETE
2,996.6261544511839,0.9959121785207306,False,False,False,True,True,False,False,False,True,False,large,6.0,0.055631498785355,12,7,0.25633600070931983,319,139,small,0.5155348709609411,2.677875127737929e-07,capacity,0.6912891141395432,6,True,COMPLETE
3,971.6552340180782,0.6152907645057053,False,True,True,True,False,True,True,False,False,False,none,12.0,0.02182926917577819,13,12,0.49578007499357474,722,24,large,0.004484970406439203,0.0394166119883421,mean,0.9297111676206247,6,False,COMPLETE
4,981.2970731078132,0.9280240545333951,False,True,False,False,True,False,False,False,True,False,small,6.0,0.05930046196479277,6,84,0.18356750460528343,702,131,small,0.00042221402999579005,0.023048116911574275,distance_capacity,0.6209487420518285,6,True,COMPLETE
5,1055.2223705090848,0.9552209880059928,False,False,False,False,False,False,False,False,False,True,none,6.0,0.0380837226422601,7,35,0.36611347472977723,508,150,large,2.663468358097768e-05,1.7820673155236654e-06,capacity,0.7277927162406033,6,False,COMPLETE
6,1112.3726919240332,0.7589026701901174,True,True,True,False,False,False,False,True,True,True,none,12.0,0.033432646068946595,11,43,0.25954626975609674,731,53,none,1.590978690023578e-05,0.8688217984885146,capacity,0.7822067660995784,6,False,COMPLETE
7,988.2708156912458,0.5539278543603832,True,False,True,True,True,False,False,True,True,True,none,12.0,0.022924060068372422,7,8,0.4293062739423846,839,35,large,0.02136642380258815,1.973521054795857e-05,distance_n_turbines,0.627852445055021,6,False,COMPLETE
8,1032.6658147215524,0.8592758751882132,False,False,True,True,True,False,False,True,True,True,none,6.0,0.08041016202897681,10,97,0.1205797733613585,559,29,large,2.831702905201355e-07,1.380689065177181e-07,mean,0.8170848335469948,6,True,COMPLETE
9,592.3759078334402,0.7305923092541331,True,False,True,False,False,False,False,False,False,False,large,,0.07770584020760778,6,41,0.4359441135640452,576,17,large,1.5093520989786146e-06,0.0021570820332750544,None,0.6445249123144141,6,True,COMPLETE
10,704.1200569004906,0.7757465379574413,True,False,True,False,False,True,True,False,False,False,large,,0.2117379168081523,3,70,0.03211978872506682,972,78,small,1.182780972169072e-08,0.0014229606032247254,None,0.5332691911344603,0,True,COMPLETE
11,771.5473226100154,0.7674547690690914,True,False,True,False,False,True,True,False,False,False,large,,0.22090914557380276,3,70,0.05579541110799313,969,80,small,1.1943568732335197e-08,0.0019480788543123565,None,0.5025805023509178,0,True,COMPLETE
12,784.5980001230997,0.8336540941212716,True,False,True,False,False,True,True,False,False,False,large,,0.16485448083533477,3,69,0.00602143951985459,980,81,small,1.1201061339983929e-08,0.006951433723439865,max,0.5125448088706926,0,True,COMPLETE
13,692.3961880294345,0.7038924056453005,True,False,True,False,False,True,True,False,False,False,large,,0.11460672407734865,16,29,0.3581739770542976,574,11,small,3.723784128052108e-07,0.41947318398058825,idw,0.5849781237482837,2,True,COMPLETE
14,689.4822063590451,0.6798547322924112,True,False,True,False,False,True,True,False,False,False,large,1.0,0.11786584000365569,16,28,0.3486937722162208,543,10,none,4.747284975200861e-07,0.6016528907257634,idw,0.5983076749535611,2,True,COMPLETE
15,838.0313072881642,0.6844563258605246,True,False,True,False,False,True,True,False,False,False,large,1.0,0.012510083720510124,16,25,0.3265844726953805,426,12,none,5.476291788802126e-07,0.04450835696113577,idw,0.5854333022622026,2,True,COMPLETE
16,654.0822910462591,0.5066727148109778,True,False,True,False,False,False,False,False,False,False,large,1.0,0.11136975589017882,9,55,0.45424429159239366,436,60,none,1.8128078424698893e-06,2.7373239551813787e-05,idw,0.6604079132619334,2,True,COMPLETE
17,654.6416518767728,0.5243639929207444,True,False,True,False,False,False,False,False,False,False,large,1.0,0.09151710164205033,9,57,0.47578641763889346,405,60,none,0.00021809073243865125,8.142735795369204e-06,distance_n_turbines,0.8415932815312093,2,True,COMPLETE
