number,value,params_colsample_bytree,params_compute_air_density,params_compute_air_density_moiust_air_correction,params_compute_wind_power_density,params_compute_wind_ramp,params_compute_wind_shear,params_dew_point_temperature,params_drop_raw_main_features,params_drop_raw_wind_features,params_encode_wind_direction,params_gust_factor,params_lags_choice,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_precip_lags_choice,params_reg_alpha,params_reg_lambda,params_spatial_agg_method,params_subsample,params_turbulence_window,params_use_base_models_pred_intervals,params_vapor_pressure,state
0,696.9362198374819,0.6795555543684935,True,True,True,False,True,True,True,False,True,True,large,0.012088191534652591,13,29,0.307809543212789,980,136,none,8.899454336170063e-07,0.021001411712407023,None,0.7941970341855371,6,False,True,COMPLETE
1,693.9780753848709,0.9023633629357385,True,False,True,False,False,True,False,False,True,False,large,0.12925421019005792,15,44,0.32415822687233203,905,45,small,2.154175966367811e-06,5.646146068310798e-07,distance_capacity,0.9762180694617906,6,False,False,COMPLETE
2,681.9786688154691,0.8826649671084448,False,False,True,False,False,False,False,False,False,True,large,0.013553835678967946,16,13,0.04484243467797394,826,10,small,1.6247349057654937e-08,0.0017065375767586304,distance_capacity,0.8933907645686407,0,False,True,COMPLETE
3,645.3257994454834,0.7393520443878303,False,False,False,True,False,False,False,True,True,False,none,0.14785287170171768,5,22,0.141727119413531,479,63,large,2.7643770715956997e-05,0.7685389915006492,distance_capacity,0.7417962084558671,2,True,True,COMPLETE
4,632.2468696407223,0.889261027298148,False,True,True,True,False,True,False,True,False,True,none,0.043344288203570655,11,48,0.13509977495919057,370,51,small,1.999221096419737e-06,7.081916224789978e-05,None,0.5221424285189937,6,True,False,COMPLETE
5,663.7173665155115,0.9525689138815803,False,True,True,True,False,True,True,True,False,True,none,0.04935955141763814,11,56,0.23450532919639272,798,116,none,5.5409163741900565e-06,0.2335098514103421,distance_capacity,0.5498698876919297,6,True,True,COMPLETE
6,694.3044839290166,0.8504020433718753,False,True,True,True,True,False,False,False,False,True,large,0.07406915391478468,10,81,0.4594069168701459,531,73,small,0.001739272618921399,3.3112019087362193e-06,idw,0.8803246167114656,2,True,False,COMPLETE
7,702.3543129894837,0.571476412775136,True,True,False,True,False,False,False,True,False,True,none,0.17991144777252704,3,73,0.11765881820459773,651,71,large,0.005524282771017066,7.528084067435812e-06,None,0.7699927968113207,6,True,False,COMPLETE
8,666.055335881974,0.9099018769781084,False,True,True,False,False,False,True,True,False,True,none,0.059835381323027764,10,33,0.3650240604501197,371,55,none,6.111207659929182e-08,2.8850043930750368e-05,distance_capacity,0.6378703647758763,6,True,True,COMPLETE
9,742.7447441479045,0.6757214146715607,True,False,False,True,False,False,False,True,True,False,small,0.2745060085052016,9,56,0.36065981128628366,681,149,large,1.3425471836610674e-07,7.325671452804e-05,idw,0.9209426503761714,0,False,True,COMPLETE
10,715.1281179459484,0.9910604197696458,False,True,False,True,True,True,True,True,False,False,small,0.024466606153682804,8,94,0.009937618976857299,349,23,small,0.9859621008192555,1.4584995211938858e-08,capacity,0.5267686987095351,2,True,False,COMPLETE
11,639.6533206237763,0.7729010011001932,False,False,False,True,False,True,False,True,True,False,none,0.03409046838609791,6,15,0.1657103767083425,475,92,large,8.604592361905748e-05,0.0035578177112089823,distance_n_turbines,0.66390998357098,2,True,False,COMPLETE
12,631.2143154573863,0.804213099253277,False,False,False,True,False,True,False,True,True,False,none,0.03063627237980105,6,6,0.1830965888343011,477,98,large,0.000353143104364962,0.0013084078398675288,distance_n_turbines,0.6311554305148466,2,True,False,COMPLETE
13,636.6937225742209,0.8083226946168488,False,False,False,True,False,True,False,True,True,False,none,0.024943219970705668,7,7,0.21758627648556078,305,100,large,0.0009118414569500908,0.0003664830417790522,distance_n_turbines,0.6066720379146499,2,True,False,COMPLETE
14,694.3509295111089,0.8114923004443818,False,True,True,True,True,True,False,True,False,True,none,0.020418720165701097,12,40,0.08603732038988639,555,40,small,0.039716744830292874,0.015345467617920114,mean,0.5145257404043359,0,True,False,COMPLETE
15,636.5148344055892,0.7207676095068137,False,False,False,True,False,True,False,True,True,False,none,0.037654929871384905,4,68,0.19782370984780215,420,107,large,0.00023149794082088105,2.636848592876085e-07,max,0.5951526138170884,6,True,False,COMPLETE
16,702.083934229176,0.583411121052464,False,True,True,True,False,True,False,True,False,True,small,0.08567822594136182,14,93,0.2738693112974822,570,87,small,2.1455310197698217e-05,0.00043746901891412006,distance_n_turbines,0.6510075233923048,2,True,False,COMPLETE
17,627.9606833221899,0.8454688611150811,False,False,False,True,False,True,False,True,True,False,none,0.01680953594365134,7,44,0.08336627571366174,456,122,small,0.02442447450028427,0.00022741530302800388,None,0.692916535199008,6,True,False,COMPLETE
18,706.2142309741866,0.5130157902374359,True,False,False,False,True,True,True,True,True,False,none,0.01930242695198931,7,24,0.08878372678581826,698,128,large,0.08647342867637042,0.021976674387131124,capacity,0.714020601896431,2,False,False,COMPLETE
19,631.8719152857308,0.8225865245479786,False,False,False,True,False,True,False,False,True,False,small,0.010370318223535234,5,67,0.041958355660552754,598,120,none,0.010605852789110987,0.0007592747640741798,max,0.8058091749156084,0,True,False,COMPLETE
