Parameter,Value
compute_cloud_cover_fraction,True
compute_clear_sky_fraction,True
use_solar_geometry,True
compute_air_density,True
compute_air_density_moist,True
compute_direct_ratio,False
compute_diffuse_ratio,False
compute_dni_ratio,True
compute_global_tilted_ratio,False
dew_point_temperature,False
vapor_pressure,True
precip_lags_option,none
cloud_lags_option,large
shortwave_lags_option,small
drop_raw_solar_features,True
drop_raw_features,False
spatial_agg_method,max
n_estimators,822
learning_rate,0.011298468462693
max_depth,4
min_child_weight,1
subsample,0.6494371618225115
colsample_bytree,0.7222442025744651
reg_alpha,5.526233945784231e-06
reg_lambda,6.818676628305687e-05
use_base_models_pred_intervals,False
cv_folds_base,40
