Column,MAE,MSE,R2,MAPE
DA_auction_price,26.920858120772554,1420.6118712469586,0.4399794801925466,998214728099271.8
austria_flow,209.2721253361584,69784.7189220811,0.11533801458545245,567766980974833.5
belgium_flow,129.24894568494827,27344.985990534085,-0.020168456658799183,5657725021854106.0
cloud_cover_fran,30.16821795372166,1294.7390240821924,0.09902804218073424,1.7450999248090024e+16
cloud_cover_hsee,31.624709072924993,1351.124412907099,0.021931100000134096,1.4317123600822754e+16
cloud_cover_mun,34.930873887714355,1562.9779296027039,-0.01990055654117029,1.6558335168591916e+16
cloud_cover_solw,32.72878795131165,1490.9378534501645,-0.03207232323524534,2.908255215164994e+16
cloud_cover_stut,31.955741541119078,1394.6837229336527,0.03799681133727251,1.5525381009907258e+16
czechia_flow,160.9218864599462,40984.88233635515,0.023002440244634603,2.7217481267610055
denmark_flow,270.75713063320023,127038.74123295926,0.2111188910736671,2.625859941419947
france_flow,268.7116117268356,136869.68824157675,0.0965403280212963,1.2092317749832449
luxembourg_flow,11.408585282373075,238.6777517695612,0.4381663379824876,0.1295523059559696
netherlands_flow,267.12836158422294,111726.27795881258,0.13663265603413377,908124384970655.8
norway_flow,121.79674639393691,27461.904404221044,0.15857678449828017,6.149811912317852e+16
other_gen,3434.3300516727263,21866326.41826214,0.5416897428864276,0.15605564251099371
poland_flow,167.4316681607041,46721.522900974414,0.05526584689594449,218922433194241.28
precipitation_fran,0.1879960885414874,0.2172502499675769,-0.08108382605375652,432064434605685.25
precipitation_hsee,0.21173905960087072,0.23803669022959942,-0.08730088032933181,469866628414647.0
precipitation_mun,0.31289218337829205,0.3866476681583124,-0.06860882743051322,695156709908821.4
precipitation_solw,0.12277728028827083,0.09607716412459774,-0.23783688398315328,323777653726545.2
precipitation_stut,0.20011408966517047,0.2024944984703781,-0.10579687078219946,468086621830364.4
relative_humidity_2m_fran,9.014602148662073,145.24848466389187,0.48768698323100257,0.1326920694319138
relative_humidity_2m_hsee,9.602595625777823,164.9116099611943,-0.45123276513160593,0.1344309998297689
relative_humidity_2m_mun,8.164277816049998,127.28482960102568,0.2959420099448249,0.10589190556986064
relative_humidity_2m_solw,10.693693659336853,210.1964997428187,0.258701231681712,0.15854311120102635
relative_humidity_2m_stut,8.607065454320914,136.72896241984753,0.38557963658865635,0.11952697634936675
residual_load_forecast,1893.9138657854412,6025383.51252364,0.3777117946468388,1.231634728989488
shortwave_radiation_fran,52.280234029220125,9232.77577160824,0.7936842160546508,4673342510998584.0
shortwave_radiation_hsee,55.26000322442751,11396.667837453519,0.725776254093907,7122594610563633.0
shortwave_radiation_mun,64.1048508204745,14928.804489563041,0.6767247671971175,3596163373013466.5
shortwave_radiation_solw,52.151281362426026,9629.646892080018,0.7807282907341728,6599419542088375.0
shortwave_radiation_stut,56.07826373839185,11452.81148592417,0.7449164307073888,3968863704270623.5
solar,666.3067301066745,1472689.8986488953,0.8440436702945415,1.31462629421309e+16
surface_pressure_fran,12.656845414835727,6964.96883347652,-144.19327211948382,0.012613364954623724
surface_pressure_hsee,15.11890383087698,7117.025535089222,-71.39027874058013,0.014944158085659147
surface_pressure_mun,11.021646137313713,6336.001603106431,-210.5729412429709,0.011510590014224727
surface_pressure_solw,13.425939217201316,6976.656630945715,-112.31325753924251,0.013367968899462505
surface_pressure_stut,11.663962887003976,6745.284766077827,-185.2104920668311,0.011806940796821527
sweden_flow,59.05102477385706,5419.89318729845,-0.09365538137913587,8.786148154132627e+16
switzerland_flow,304.82361869448295,141059.9086567706,0.15374135246754084,3.3378431374918622
temperature_2m_fran,3.9133861901348004,27.401885076487236,0.23427855319841295,0.3001130604397917
temperature_2m_hsee,1.827813557060664,7.041881541429092,-0.3344618320829973,0.11985836300801671
temperature_2m_mun,3.8754444941070783,28.359123410056185,0.13066336520292532,0.34719409316104805
temperature_2m_solw,3.9898447979536997,26.114344892350626,0.27657772667803615,0.3310553367086271
temperature_2m_stut,3.8009816793734457,27.110018103196655,0.16721391341966774,0.3017136324358187
total_gen,4576.7549881760915,52636347.68265676,0.5535327405220849,0.09910133119648595
total_grid_load,393.7787313584875,1243856.23315829,0.7199539880196831,0.03172976762588383
wind_direction_10m_fran,94.88087058516142,11924.367065550714,-0.15738174233636637,2.5138734397296187
wind_direction_10m_hsee,82.41721498782609,9570.769220489163,-0.2214142451740051,1.340314721258985
wind_direction_10m_mun,83.9031711280244,9847.91517131981,-0.16487665021486864,1.307026454041637
wind_direction_10m_solw,87.08271495043313,10282.837032634425,-0.13060867651439323,2.080487078671207
wind_direction_10m_stut,81.67446829772172,10046.953057212031,-0.1405395713973634,1.4024777949351668
wind_gusts_10m_fran,8.617233850720673,120.60205202662827,0.10268036122551283,0.5210337060229634
wind_gusts_10m_hsee,14.129214770577665,319.63898528215935,-0.1155548438435321,0.5439186942430874
wind_gusts_10m_mun,7.591493552572987,89.82048862674615,0.030978203382932668,0.5154583654628088
wind_gusts_10m_solw,8.606129615563905,121.62201527965007,0.026094917334041234,0.3991212036963835
wind_gusts_10m_stut,7.808942798063949,105.33736342128256,0.0741911031629342,0.513010040938893
wind_offshore,383.6035800871975,211862.8858052627,-0.09033775189450499,1.2979588539136964
wind_onshore,1477.1017279759437,4049270.958049601,-0.01216814176180736,0.92305568703793
wind_speed_10m_fran,4.663111746863712,35.03291615202005,-0.012848098191199142,0.7748237237774448
wind_speed_10m_hsee,10.68990539049191,179.01917620272184,-0.11798973708051519,0.6734563785862576
wind_speed_10m_mun,4.189052125282854,28.047506219365612,-0.07578695887790099,0.7445271575006788
