number,value,params_cloud_lags_option,params_colsample_bytree,params_compute_air_density,params_compute_cloud_cover_fraction,params_compute_cooling_degree_hours,params_compute_dew_point_spread,params_compute_effective_solar,params_compute_heating_degree_hours,params_compute_humidex,params_compute_pressure_trend,params_compute_rain_indicator,params_compute_temp_gradient,params_compute_wind_chill,params_compute_wind_components,params_compute_wind_power_density,params_compute_wind_speed_gradient,params_drop_basic_meteo_features,params_drop_rad_meteo_features,params_drop_wind_meteo_features,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_precip_lags_option,params_reg_alpha,params_reg_lambda,params_rolling_temp_option,params_spatial_agg_method,params_subsample,params_temp_lags_option,params_use_base_models_pred_intervals,state
0,1027.7280844793565,small,0.9998310589706877,True,False,True,True,False,True,True,False,False,True,True,False,True,False,True,False,False,0.29260641011451666,10,10,748,none,0.00939523401031583,0.5052955423156981,none,None,0.7554110190885487,none,False,COMPLETE
1,1115.5713940415126,medium,0.6087033890027338,True,False,False,True,True,False,False,False,False,False,False,False,True,False,True,True,True,0.14422585712798566,6,5,646,none,2.769961533684258e-08,1.7253323092576032e-08,long,distance_energy,0.5337879909356325,none,True,COMPLETE
2,992.3634500620028,medium,0.8513168013465092,True,True,True,False,False,False,True,True,False,True,False,True,True,True,True,True,False,0.016056694225015496,10,5,435,medium,7.729696611585016e-06,2.9436102621526183e-05,none,None,0.6061146542631033,none,False,COMPLETE
3,990.5142562560249,none,0.7967173325185416,True,True,True,True,True,False,True,True,False,False,False,False,True,False,True,True,False,0.011000617062432386,6,3,510,small,2.7255826118697214e-07,1.7437964428945828e-08,none,idw,0.7198458529321226,medium,True,COMPLETE
4,1138.699004371009,medium,0.9340331908538909,True,True,True,True,False,True,False,True,True,False,False,True,True,False,False,False,True,0.12629989063124666,3,6,542,small,0.09940095001397772,1.0556479578869042e-07,long,energy,0.5064004418551955,none,False,COMPLETE
5,938.0195726735595,small,0.7964317583881365,False,False,False,True,True,False,True,False,True,True,True,True,True,True,True,False,True,0.06680490625985461,3,1,443,medium,1.1826346417380457e-05,0.050822048417341906,short,idw,0.7807489977585378,medium,False,COMPLETE
6,970.2542510708796,small,0.8765651040433318,True,False,False,True,True,False,True,False,False,True,True,True,False,True,True,False,True,0.05562274716678773,4,1,364,small,2.1378687721960836e-07,5.268608758140971e-05,none,mean,0.9437025155161332,none,False,COMPLETE
7,941.077726869265,medium,0.8144644217979988,True,False,False,True,True,True,False,True,True,False,False,False,True,False,False,False,True,0.1493116263355528,5,6,718,small,1.078562391280577e-08,6.148414952277241e-08,short,distance_population,0.8056240051305392,small,False,COMPLETE
8,1000.0672491921993,small,0.8121190916806065,True,True,False,True,False,False,True,False,False,False,False,True,False,True,True,False,True,0.059981661402510766,6,9,497,medium,9.386378083202394e-08,1.0153640192019503e-08,short,energy,0.6771264049440329,small,False,COMPLETE
9,1134.5131903627191,small,0.6529566054687292,True,False,False,True,True,False,False,True,True,False,True,False,False,True,True,True,False,0.018729844655944818,5,5,841,small,7.705131968862968e-06,0.04097906762981475,long,mean,0.5350524218329478,none,False,COMPLETE
