Parameter,Value
compute_heating_degree_hours,True
compute_cooling_degree_hours,True
compute_dew_point_spread,False
compute_temp_gradient,True
compute_wind_chill,True
compute_humidex,True
compute_wind_components,False
compute_wind_power_density,False
compute_pressure_trend,False
compute_wind_speed_gradient,False
compute_air_density,True
compute_rain_indicator,True
compute_cloud_cover_fraction,False
compute_effective_solar,True
temp_lags_option,small
precip_lags_option,none
cloud_lags_option,medium
rolling_temp_option,none
drop_basic_meteo_features,True
drop_wind_meteo_features,False
drop_rad_meteo_features,False
spatial_agg_method,distance_energy
n_estimators,731
learning_rate,0.11105610834175686
max_depth,6
min_child_weight,1
subsample,0.9622132134480934
colsample_bytree,0.9994212578038679
reg_alpha,0.4858173187150735
reg_lambda,0.7577610133909166
use_base_models_pred_intervals,False
cv_folds_base,40
