date,load_tran_actual,load_tran_fitted,load_tran_lower,load_tran_upper
2025-03-30 00:00:00+00:00,5127.75,4779.0103,4675.026255104001,4882.994142404374
2025-03-30 01:00:00+00:00,5146.75,4866.8696,4762.885680840695,4970.8535681410685
2025-03-30 02:00:00+00:00,5245.5,4974.175,4870.190720688432,5078.158607988805
2025-03-30 03:00:00+00:00,5299.25,4982.8833,4878.899474928105,5086.867362228478
2025-03-30 04:00:00+00:00,5339.25,5120.4707,5016.486660616219,5224.454547916592
2025-03-30 05:00:00+00:00,5374.25,5268.857,5164.87307543721,5372.840962737582
2025-03-30 06:00:00+00:00,5872.25,5670.801,5566.816624612828,5774.7845119132
2025-03-30 07:00:00+00:00,6376.25,6064.3555,5960.3715930874105,6168.339480387784
2025-03-30 08:00:00+00:00,6412.75,6274.2646,6170.2806321826165,6378.24851948299
2025-03-30 09:00:00+00:00,6336.5,6217.1304,6113.146309997797,6321.11419729817
2025-03-30 10:00:00+00:00,6133.25,6232.8047,6128.820750567147,6336.788637867519
2025-03-30 11:00:00+00:00,5935.0,6063.5386,5959.554674722105,6167.522562022477
2025-03-30 12:00:00+00:00,5765.0,5507.7817,5403.797820228617,5611.76570752899
2025-03-30 13:00:00+00:00,5422.25,5543.4165,5439.432676231683,5647.400563532056
2025-03-30 14:00:00+00:00,5508.25,5790.5347,5686.550566708502,5894.518454008874
2025-03-30 15:00:00+00:00,5789.0,5638.6313,5534.647256295494,5742.615143595867
2025-03-30 16:00:00+00:00,5898.25,6437.0454,6333.061536921178,6541.029424221551
2025-03-30 17:00:00+00:00,5985.25,5994.7075,5890.723736795714,6098.691624096087
2025-03-30 18:00:00+00:00,6116.25,6196.8345,6092.850362382365,6300.8182496827385
2025-03-30 19:00:00+00:00,6150.5,6185.8447,6081.86056286632,6289.828450166693
2025-03-30 20:00:00+00:00,5971.0,5989.361,5885.376762225876,6093.344649526249
2025-03-30 21:00:00+00:00,5748.25,5904.667,5800.683001369424,6008.6508886697975
2025-03-30 22:00:00+00:00,5326.0,5695.5874,5591.603392729112,5799.571280029484
2025-03-30 23:00:00+00:00,5075.0,5417.8145,5313.830415419058,5521.798302719431
2025-03-31 00:00:00+00:00,5076.5,5221.3457,5117.361718506452,5325.3296058068245
2025-03-31 01:00:00+00:00,5155.25,4944.1978,4840.213708387664,5048.181595688037
2025-03-31 02:00:00+00:00,5362.25,5068.843,4964.8585925389725,5172.826479839345
2025-03-31 03:00:00+00:00,5903.0,5480.263,5376.2792104809005,5584.247097781274
2025-03-31 04:00:00+00:00,7207.5,6266.1646,6162.180488073119,6370.148375373492
2025-03-31 05:00:00+00:00,8162.0,7394.0786,7290.094445040183,7498.062332340556
2025-03-31 06:00:00+00:00,8816.25,7855.2456,7751.26160168938,7959.229488989753
2025-03-31 07:00:00+00:00,8991.0,8319.779,8215.794999025073,8423.762886325445
2025-03-31 08:00:00+00:00,9058.75,8406.055,8302.07072136125,8510.038608661622
2025-03-31 09:00:00+00:00,9109.5,8638.744,8534.760409380302,8742.728296680674
2025-03-31 10:00:00+00:00,9099.75,8615.3955,8511.41153314853,8719.379420448902
2025-03-31 11:00:00+00:00,8616.5,8034.0513,7930.067476692161,8138.035363992534
2025-03-31 12:00:00+00:00,8328.25,7683.9478,7579.963745184631,7787.931632485004
2025-03-31 13:00:00+00:00,8302.0,7481.3135,7377.329668331326,7585.297555631699
2025-03-31 14:00:00+00:00,7944.0,7079.464,6975.47967304797,7183.447560348342
2025-03-31 15:00:00+00:00,7930.75,7174.1123,7070.1282987980585,7278.096186098432
2025-03-31 16:00:00+00:00,7900.25,7145.7676,7041.783381307111,7249.751268607484
2025-03-31 17:00:00+00:00,7991.25,7140.556,7036.572191587258,7244.54007888763
2025-03-31 18:00:00+00:00,7910.5,7400.215,7296.23110453076,7504.198991831133
2025-03-31 19:00:00+00:00,7518.0,7156.1367,7052.152610919743,7260.120498220116
2025-03-31 20:00:00+00:00,7113.0,6714.066,6610.081961963462,6818.049849263835
2025-03-31 21:00:00+00:00,6559.25,6205.875,6101.891101233361,6309.858988533733
2025-03-31 22:00:00+00:00,6145.25,5981.372,5877.388228504648,6085.356115805021
2025-03-31 23:00:00+00:00,5866.0,5608.8633,5504.879104546206,5712.846991846578
2025-04-01 00:00:00+00:00,5857.25,5419.0317,5315.047635679409,5523.015522979782
2025-04-01 01:00:00+00:00,5871.0,5422.728,5318.744161542308,5526.712048842681
2025-04-01 02:00:00+00:00,6151.0,5463.979,5359.995140120425,5567.9630274207975
2025-04-01 03:00:00+00:00,6731.0,5921.828,5817.843937661954,6025.811824962328
2025-04-01 04:00:00+00:00,7833.0,6532.881,6428.8968060894895,6636.864693389862
2025-04-01 05:00:00+00:00,8522.75,7827.3906,7723.406758743045,7931.374646043419
2025-04-01 06:00:00+00:00,8896.0,8069.0522,7965.068528442386,8173.036415742759
2025-04-01 07:00:00+00:00,8973.25,8424.919,8320.93546861716,8528.903355917533
2025-04-01 08:00:00+00:00,8879.75,8269.3,8165.316343754929,8373.284231055302
2025-04-01 09:00:00+00:00,9132.25,8271.37,8167.386255485619,8375.354142785993
2025-04-01 10:00:00+00:00,8911.0,7882.867,7778.883367136647,7986.8512544370205
2025-04-01 11:00:00+00:00,8769.25,7777.8857,7673.901624765945,7881.869512066318
2025-04-01 12:00:00+00:00,8327.0,7581.1167,7477.132892618483,7685.100779918856
2025-04-01 13:00:00+00:00,7943.5,7470.848,7366.863953301198,7574.8318406015715
2025-04-01 14:00:00+00:00,7576.25,7533.952,7429.9680504676,7637.935937767973
2025-04-01 15:00:00+00:00,7632.0,7290.6074,7186.623670255487,7394.59155755586
2025-04-01 16:00:00+00:00,7725.0,7547.895,7443.910894312653,7651.878781613025
2025-04-01 17:00:00+00:00,7960.25,7233.491,7129.50702219382,7337.4749094941935
2025-04-01 18:00:00+00:00,7972.0,7284.9805,7180.99641638172,7388.9643036820935
2025-04-01 19:00:00+00:00,7676.5,7232.381,7128.397036276825,7336.364923577198
2025-04-01 20:00:00+00:00,7174.25,6973.877,6869.893059303912,7077.860946604285
2025-04-01 21:00:00+00:00,6678.0,6797.4487,6693.4649486673015,6901.432835967675
2025-04-01 22:00:00+00:00,6415.5,6075.692,5971.708098569759,6179.6759858701325
2025-04-01 23:00:00+00:00,5966.5,5664.3247,5560.34067294078,5768.308560241152
2025-04-02 00:00:00+00:00,5900.75,5471.932,5367.9480706801105,5575.915957980484
2025-04-02 01:00:00+00:00,5996.25,5551.9136,5447.929765852262,5655.897653152635
2025-04-02 02:00:00+00:00,6245.75,5675.6064,5571.622456618754,5779.590343919127
2025-04-02 03:00:00+00:00,6646.25,6086.575,5982.591279787608,6190.559167087981
2025-04-02 04:00:00+00:00,7799.5,6896.597,6792.613380680374,7000.581267980747
2025-04-02 05:00:00+00:00,8542.25,7620.575,7516.5912222728575,7724.559109573231
2025-04-02 06:00:00+00:00,8848.5,7947.3906,7843.406747375206,8051.374634675578
2025-04-02 07:00:00+00:00,8781.75,8119.1343,8015.15053560256,8223.118422902933
2025-04-02 08:00:00+00:00,8690.5,8010.8315,7906.847757514193,8114.8156448145655
2025-04-02 09:00:00+00:00,8601.0,7905.931,7801.947418076084,8009.915305376458
2025-04-02 10:00:00+00:00,8370.0,7568.6226,7464.638477154438,7672.606364454811
2025-04-02 11:00:00+00:00,8194.5,7141.7827,7037.798631282041,7245.7665185824135
2025-04-02 12:00:00+00:00,7875.75,6864.905,6760.921043744654,6968.888931045027
2025-04-02 13:00:00+00:00,7464.5,7081.9106,6977.926774358813,7185.894661659186
2025-04-02 14:00:00+00:00,7334.75,6941.832,6837.848217080229,7045.816104380602
2025-04-02 15:00:00+00:00,7354.5,6972.57,6868.585981422248,7076.553868722621
2025-04-02 16:00:00+00:00,7707.25,7119.2964,7015.312388214882,7223.280275515255
2025-04-02 17:00:00+00:00,8031.5,7397.3853,7293.401375448024,7501.369262748397
2025-04-02 18:00:00+00:00,7911.75,7269.0854,7165.101261702336,7373.069149002709
2025-04-02 19:00:00+00:00,7674.25,7114.495,7010.511102197363,7218.478989497736
2025-04-02 20:00:00+00:00,7196.25,6988.2793,6884.29517543568,7092.263062736053
2025-04-02 21:00:00+00:00,6778.25,6383.547,6279.563113258541,6487.5310005589145
2025-04-02 22:00:00+00:00,6438.0,6062.653,5958.668759299109,6166.6366465994815
2025-04-02 23:00:00+00:00,6030.25,5633.6772,5529.693488479915,5737.661375780288
2025-04-03 00:00:00+00:00,5902.0,5447.424,5343.440094862201,5551.407982162573
2025-04-03 01:00:00+00:00,5862.0,5151.073,5047.089234910473,5255.0571222108465
2025-04-03 02:00:00+00:00,5963.0,5366.9233,5262.939477237695,5470.907364538069
2025-04-03 03:00:00+00:00,6488.5,6038.85,5934.86617642998,6142.834063730354
2025-04-03 04:00:00+00:00,7489.0,6976.4175,6872.433374620034,7080.401261920406
2025-04-03 05:00:00+00:00,8331.25,7502.03,7398.045864959157,7606.0137522595305
2025-04-03 06:00:00+00:00,8788.5,7742.0327,7638.048561319347,7846.01644861972
2025-04-03 07:00:00+00:00,8738.5,8070.4946,7966.510838857687,8174.47872615806
2025-04-03 08:00:00+00:00,8638.0,7985.728,7881.744214729107,8089.71210202948
2025-04-03 09:00:00+00:00,8258.25,7701.96,7597.97605588544,7805.943943185812
2025-04-03 10:00:00+00:00,7938.5,7265.0464,7161.062384675112,7369.030271975485
2025-04-03 11:00:00+00:00,7805.0,7025.315,6921.330748184419,7129.298635484791
2025-04-03 12:00:00+00:00,7505.25,6595.2207,6491.236930544827,6699.2048178452
2025-04-03 13:00:00+00:00,7280.0,7116.3115,7012.327373266472,7220.295260566845
2025-04-03 14:00:00+00:00,7124.75,7017.546,6913.562078855767,7121.52996615614
2025-04-03 15:00:00+00:00,7253.25,6938.012,6834.0284396998695,7041.996327000242
2025-04-03 16:00:00+00:00,7630.0,7000.3516,6896.367578723597,7104.33546602397
2025-04-03 17:00:00+00:00,7954.25,6786.664,6682.680270945914,6890.6481582462875
2025-04-03 18:00:00+00:00,7905.0,6796.861,6692.876731756148,6900.844619056521
