date,biomass_ampr_actual,coal_derived_gas_ampr_actual,gas_ampr_actual,hard_coal_ampr_actual,lignite_ampr_actual,other_fossil_ampr_actual,renewables_ampr_actual,waste_ampr_actual,biomass_ampr_fitted,coal_derived_gas_ampr_fitted,gas_ampr_fitted,hard_coal_ampr_fitted,lignite_ampr_fitted,other_fossil_ampr_fitted,renewables_ampr_fitted,waste_ampr_fitted,biomass_ampr_lower,coal_derived_gas_ampr_lower,gas_ampr_lower,hard_coal_ampr_lower,lignite_ampr_lower,other_fossil_ampr_lower,renewables_ampr_lower,waste_ampr_lower,biomass_ampr_upper,coal_derived_gas_ampr_upper,gas_ampr_upper,hard_coal_ampr_upper,lignite_ampr_upper,other_fossil_ampr_upper,renewables_ampr_upper,waste_ampr_upper
2025-07-02 00:00:00+00:00,678.0,401.75,4081.5,1694.75,3573.25,40.0,109.0,65.0,749.7645278903001,460.1642726608187,3129.74857835618,1245.1532638538135,3658.766735576491,50.05241228070175,307.05298950628696,79.99269343018038,779.4234226190476,460.0807316468254,3116.1759350198413,1251.1592435515875,3620.6666666666665,49.688125,387.66572916666667,75.79456101190476,779.4234226190476,460.0807316468254,3116.1759350198413,1251.1592435515875,3620.6666666666665,49.688125,387.66572916666667,75.79456101190476
2025-07-02 01:00:00+00:00,678.0,407.75,4128.25,1592.5,3542.75,40.0,188.0,66.0,752.7398898782994,460.1642726608187,3131.0306675557513,1243.1199197634876,3659.3298822418774,50.05241228070175,314.01476643491105,79.60011218677955,779.4234226190476,460.0807316468254,3116.1759350198413,1251.1592435515875,3620.6666666666665,49.688125,387.66572916666667,75.79456101190476,779.4234226190476,460.0807316468254,3116.1759350198413,1251.1592435515875,3620.6666666666665,49.688125,387.66572916666667,75.79456101190476
2025-07-02 02:00:00+00:00,678.0,411.0,4366.75,1391.5,3779.5,40.0,153.0,73.5,754.910908206873,460.1642726608187,3133.4265360342133,1240.5447463320154,3666.3525796243425,50.05241228070175,320.9765433635351,79.43616282367623,779.4234226190476,460.0807316468254,3116.1759350198413,1251.1592435515875,3620.6666666666665,49.688125,387.66572916666667,75.79456101190476,779.4234226190476,460.0807316468254,3116.1759350198413,1251.1592435515875,3620.6666666666665,49.688125,387.66572916666667,75.79456101190476
2025-07-02 03:00:00+00:00,678.0,422.25,4534.5,1673.5,4127.25,40.0,153.0,74.0,757.7244781746513,460.1642726608187,3210.2523700686193,1256.848047118963,3711.51015377804,50.05241228070175,327.9383202921591,79.2669030261898,779.4234226190476,460.0807316468254,3116.1759350198413,1251.1592435515875,3620.6666666666665,49.688125,387.66572916666667,75.79456101190476,779.4234226190476,460.0807316468254,3116.1759350198413,1251.1592435515875,3620.6666666666665,49.688125,387.66572916666667,75.79456101190476
2025-07-02 04:00:00+00:00,680.0,416.5,5111.25,2266.0,4198.75,40.0,112.5,70.0,761.1994445439482,460.1642726608187,3395.914354057556,1297.2198971119294,3816.944729806777,50.05241228070175,334.9000972207832,79.20156621615779,779.4234226190476,460.0807316468254,3116.1759350198413,1251.1592435515875,3620.6666666666665,49.688125,387.66572916666667,75.79456101190476,779.4234226190476,460.0807316468254,3116.1759350198413,1251.1592435515875,3620.6666666666665,49.688125,387.66572916666667,75.79456101190476
2025-07-02 05:00:00+00:00,679.0,407.75,4934.5,2308.25,4215.75,40.0,130.25,75.0,761.0559833136571,460.1642726608187,3445.2524684170126,1309.1951342969548,3830.915212342975,50.05241228070175,341.86187414940724,79.46496816308881,779.4234226190476,460.0807316468254,3116.1759350198413,1251.1592435515875,3620.6666666666665,49.688125,387.66572916666667,75.79456101190476,779.4234226190476,460.0807316468254,3116.1759350198413,1251.1592435515875,3620.6666666666665,49.688125,387.66572916666667,75.79456101190476
2025-07-02 06:00:00+00:00,680.25,404.75,4545.5,2277.5,4204.75,40.0,115.0,77.75,757.877262058715,460.1642726608187,3324.218416950378,1281.952912761909,3748.8303245368015,50.05241228070175,348.82365107803133,79.97493245965312,779.4234226190476,460.0807316468254,3116.1759350198413,1251.1592435515875,3620.6666666666665,49.688125,387.66572916666667,75.79456101190476,779.4234226190476,460.0807316468254,3116.1759350198413,1251.1592435515875,3620.6666666666665,49.688125,387.66572916666667,75.79456101190476
2025-07-02 07:00:00+00:00,672.5,403.0,3778.0,1811.5,4205.5,40.0,130.75,79.0,752.8596481650914,460.1642726608187,3069.2706533776072,1225.4038878987135,3577.119196748817,50.05241228070175,355.78542800665537,80.57931492241713,779.4234226190476,460.0807316468254,3116.1759350198413,1251.1592435515875,3620.6666666666665,49.688125,387.66572916666667,75.79456101190476,779.4234226190476,460.0807316468254,3116.1759350198413,1251.1592435515875,3620.6666666666665,49.688125,387.66572916666667,75.79456101190476
2025-07-02 08:00:00+00:00,669.25,419.75,2277.0,1404.75,4034.5,40.0,114.0,79.0,747.6380790643373,460.1642726608187,2878.8560683829137,1190.8301234445971,3420.169469293004,50.05241228070175,362.74720493527946,81.24136912700303,779.4234226190476,460.0807316468254,3116.1759350198413,1251.1592435515875,3620.6666666666665,49.688125,387.66572916666667,75.79456101190476,779.4234226190476,460.0807316468254,3116.1759350198413,1251.1592435515875,3620.6666666666665,49.688125,387.66572916666667,75.79456101190476
2025-07-02 09:00:00+00:00,666.5,440.5,1762.0,1056.75,3498.0,40.0,110.0,73.5,743.6465468778313,460.1642726608187,2702.769056553654,1153.079701702945,3294.2963767323436,50.05241228070175,369.70898186390355,81.90552239170668,779.4234226190476,460.0807316468254,3116.1759350198413,1251.1592435515875,3620.6666666666665,49.688125,387.66572916666667,75.79456101190476,779.4234226190476,460.0807316468254,3116.1759350198413,1251.1592435515875,3620.6666666666665,49.688125,387.66572916666667,75.79456101190476
