Parameter,Value
compute_cloud_cover_fraction,False
compute_clear_sky_fraction,False
use_solar_geometry,True
compute_air_density,True
compute_air_density_moist,False
compute_direct_ratio,True
compute_diffuse_ratio,False
compute_dni_ratio,True
compute_global_tilted_ratio,True
dew_point_temperature,True
vapor_pressure,True
precip_lags_option,small
cloud_lags_option,small
shortwave_lags_option,small
drop_raw_solar_features,False
drop_raw_features,False
spatial_agg_method,mean
lags_target,
n_estimators,689
learning_rate,0.022162174295295562
num_leaves,12
max_depth,4
min_child_samples,22
subsample,0.9229722960925819
colsample_bytree,0.9523515794028107
reg_alpha,0.06957799633245317
reg_lambda,0.0002919831094834818
min_split_gain,0.03666868257774031
