date,wind_onshore_tenn_actual,wind_onshore_tenn_fitted,wind_onshore_tenn_lower,wind_onshore_tenn_upper
2025-01-05 22:00:00+00:00,10558.25,10394.631,9881.168316486757,10908.094098123733
2025-01-05 23:00:00+00:00,10858.5,10097.736,9584.274047275247,10611.199828912222
2025-01-06 00:00:00+00:00,11009.0,10693.843,10180.37995457738,11207.305736214355
2025-01-06 01:00:00+00:00,11797.75,11160.567,10647.10425735811,11674.030038995086
2025-01-06 02:00:00+00:00,12818.25,12297.01,11783.547113570465,12810.47289520744
2025-01-06 03:00:00+00:00,13602.0,13340.868,12827.405214640075,13854.33099627705
2025-01-06 04:00:00+00:00,14473.75,14104.485,13591.02273400053,14617.948515637505
2025-01-06 05:00:00+00:00,15618.5,15415.177,14901.714045708097,15928.639827345072
2025-01-06 06:00:00+00:00,16644.0,16524.506,16011.043738666427,17037.969520303403
2025-01-06 07:00:00+00:00,17078.75,17149.951,16636.48807282033,17663.413854457307
2025-01-06 08:00:00+00:00,17263.75,16791.863,16278.401686250207,17305.327467887182
2025-01-06 09:00:00+00:00,17624.75,17175.885,16662.42281478879,17689.348596425767
2025-01-06 10:00:00+00:00,17938.75,17715.467,17202.005026707724,18228.9308083447
2025-01-06 11:00:00+00:00,17727.0,17842.676,17329.213472904838,18356.139254541813
2025-01-06 12:00:00+00:00,17477.25,17462.418,16948.95550300483,17975.881284641804
2025-01-06 13:00:00+00:00,17931.0,18067.29,17553.827201513323,18580.7529831503
2025-01-06 14:00:00+00:00,18359.75,18695.459,18181.995746732024,19208.921528369
2025-01-06 15:00:00+00:00,18286.535714285714,18358.582,17845.118838038452,18872.044619675427
2025-01-06 16:00:00+00:00,18213.321428571428,18250.156,17736.693553448822,18763.619335085798
2025-01-06 17:00:00+00:00,18140.10714285714,18279.66,17766.197769807048,18793.123551444023
2025-01-06 18:00:00+00:00,18066.89285714286,18154.79,17641.327218808896,18668.25300044587
2025-01-06 19:00:00+00:00,17993.678571428572,17758.477,17245.014508893342,18271.940290530318
2025-01-06 20:00:00+00:00,17920.464285714286,17893.51,17380.04821979512,18406.974001432096
2025-01-06 21:00:00+00:00,17847.25,17892.742,17379.278745958814,18406.20452759579
2025-01-06 22:00:00+00:00,17682.25,17681.113,17167.65133570672,18194.5771173437
2025-01-06 23:00:00+00:00,17976.5,17762.55,17249.088193909087,18276.013975546066
2025-01-07 00:00:00+00:00,17267.0,17260.1,16746.636515645303,17773.56229728228
2025-01-07 01:00:00+00:00,17097.25,17303.178,16789.715471528867,17816.641253165842
2025-01-07 02:00:00+00:00,16958.0,17003.752,16490.289096553694,17517.21487819067
2025-01-07 03:00:00+00:00,16681.25,16868.213,16354.751175025933,17381.676956662912
2025-01-07 04:00:00+00:00,16450.75,16790.201,16276.739580658512,17303.665362295487
2025-01-07 05:00:00+00:00,16828.500000000004,16904.988,16391.525919137068,17418.451700774043
2025-01-07 06:00:00+00:00,16048.75,16614.32,16100.85849326164,17127.78427489862
2025-01-07 07:00:00+00:00,15708.5,15632.723,15119.259351866782,16146.185133503757
2025-01-07 08:00:00+00:00,15321.5,15219.969,14706.505586069852,15733.431367706828
2025-01-07 09:00:00+00:00,15448.0,15382.59,14869.126670845704,15896.05245248268
2025-01-07 10:00:00+00:00,15583.0,14590.191,14076.728619480597,15103.654401117572
2025-01-07 11:00:00+00:00,15213.25,15834.5,15321.037286487783,16347.963068124758
2025-01-07 12:00:00+00:00,15116.0,15324.407,14810.94455408206,15837.870335719035
2025-01-07 13:00:00+00:00,15105.25,14870.622,14357.15920122731,15384.084982864286
2025-01-07 14:00:00+00:00,15050.5,14947.605,14434.142374338819,15461.068155975794
2025-01-07 15:00:00+00:00,15422.5,15601.714,15088.250924684911,16115.17670632189
2025-01-07 16:00:00+00:00,15626.25,15963.956,15450.493101550172,16477.418883187147
2025-01-07 17:00:00+00:00,16003.75,15816.757,15303.294125085868,16330.219906722843
2025-01-07 18:00:00+00:00,15718.75,16051.792,15538.328908385796,16565.254690022775
2025-01-07 19:00:00+00:00,16257.75,16956.125,16442.66171871844,17469.587500355417
2025-01-07 20:00:00+00:00,16478.000000000004,15933.971,15420.507832465279,16447.433614102254
2025-01-07 21:00:00+00:00,15548.75,14526.424,14012.961238455053,15039.887020092028
2025-01-07 22:00:00+00:00,15644.5,15944.816,15431.353097766889,16458.278879403864
2025-01-07 23:00:00+00:00,15256.5,15847.682,15334.218341724776,16361.144123361752
2025-01-08 00:00:00+00:00,15480.0,15436.033,14922.569839304211,15949.495620941187
2025-01-08 01:00:00+00:00,15214.25,15254.375,14740.911908660204,15767.83769029718
2025-01-08 02:00:00+00:00,14982.25,14499.518,13986.054917347177,15012.980698984153
2025-01-08 03:00:00+00:00,14786.0,14776.088,14262.624445699123,15289.550227336098
2025-01-08 04:00:00+00:00,14586.5,14696.138,14182.674956211806,15209.600737848781
2025-01-08 05:00:00+00:00,15220.0,14851.129,14337.665513163589,15364.591294800564
2025-01-08 06:00:00+00:00,15086.75,14580.162,14066.699143813923,15093.624925450898
2025-01-08 07:00:00+00:00,14748.75,14850.824,14337.361302577145,15364.28708421412
2025-01-08 08:00:00+00:00,13523.25,13761.203,13247.740034567083,14274.665816204059
2025-01-08 09:00:00+00:00,12947.25,13127.473,12614.009909301692,13640.93569093867
2025-01-08 10:00:00+00:00,12897.75,13287.025,12773.562572418396,13800.488354055371
2025-01-08 11:00:00+00:00,12641.0,12692.348,12178.88508645124,13205.810868088218
2025-01-08 12:00:00+00:00,11908.75,11291.252,10777.78902003184,11804.714801668815
2025-01-08 13:00:00+00:00,10388.0,10398.562,9885.098843579468,10912.024625216445
2025-01-08 14:00:00+00:00,8997.25,7868.7295,7355.266764576339,8382.192546213315
2025-01-08 15:00:00+00:00,10132.25,9869.889,9356.426370659103,10383.352152296078
2025-01-08 16:00:00+00:00,9452.0,9592.636,9079.172631645599,10106.098413282576
2025-01-08 17:00:00+00:00,8590.5,8867.288,8353.824856691786,9380.750638328762
2025-01-08 18:00:00+00:00,8078.75,8064.5234,7551.060487488161,8577.986269125136
2025-01-08 19:00:00+00:00,7137.25,6439.439,5925.976284689191,6952.902066326166
2025-01-08 20:00:00+00:00,5894.5,6039.7505,5526.287685948454,6553.2134675854295
2025-01-08 21:00:00+00:00,4901.0,5600.408,5086.945195220736,6113.870976857713
2025-01-08 22:00:00+00:00,4233.0,5150.0596,4636.596819299464,5663.5226009364405
2025-01-08 23:00:00+00:00,4227.75,4580.438,4066.975259337585,5093.9010409745615
2025-01-09 00:00:00+00:00,4644.5,4097.0874,3583.624440112503,4610.550221749479
2025-01-09 01:00:00+00:00,4579.75,4089.1404,3575.677596436438,4602.603378073414
2025-01-09 02:00:00+00:00,4583.0,5221.9043,4708.44163613215,5735.367417769126
2025-01-09 03:00:00+00:00,4684.25,4802.8247,4289.361882242698,5316.287663879674
2025-01-09 04:00:00+00:00,4298.75,4919.4175,4405.954471078285,5432.88025271526
2025-01-09 05:00:00+00:00,3918.0,3729.1816,3215.7187094961882,4242.644491133165
2025-01-09 06:00:00+00:00,3625.0,3632.6943,3119.2313220030896,4146.1571036400655
2025-01-09 07:00:00+00:00,3345.25,3909.0952,3395.632297690138,4422.558079327114
2025-01-09 08:00:00+00:00,3188.75,3852.7554,3339.292418132741,4366.218199769717
2025-01-09 09:00:00+00:00,3444.0,3608.3254,3094.8625013967867,4121.788283033762
2025-01-09 10:00:00+00:00,3528.75,4230.6914,3717.228282310595,4744.154063947572
2025-01-09 11:00:00+00:00,3671.25,3984.7244,3471.2615231656,4498.187304802576
2025-01-09 12:00:00+00:00,4203.5,4359.576,3846.113176207503,4873.038957844478
2025-01-09 13:00:00+00:00,4830.5,4643.129,4129.66606120296,5156.591842839936
2025-01-09 14:00:00+00:00,5442.75,5135.8384,4622.37536911998,5649.301150756956
2025-01-09 15:00:00+00:00,6233.25,6759.375,6245.911940034092,7272.837721671069
2025-01-09 16:00:00+00:00,6728.75,7582.0933,7068.630128971336,8095.555910608312
2025-01-09 17:00:00+00:00,7655.25,8988.43,8474.966985900335,9501.892767537312
2025-01-09 18:00:00+00:00,8745.5,9539.536,9026.073147465551,10052.998929102529
