date,wind_onshore_tenn_actual,wind_onshore_tenn_fitted,wind_onshore_tenn_lower,wind_onshore_tenn_upper
2025-02-21 00:00:00+00:00,,8134.0674,7643.218054112262,8624.916102131016
2025-02-21 01:00:00+00:00,,6942.343,6451.493528328288,7433.191576347043
2025-02-21 02:00:00+00:00,,6784.6636,6293.814647903274,7275.512695922029
2025-02-21 03:00:00+00:00,,6178.358,5687.509015151372,6669.207063170126
2025-02-21 04:00:00+00:00,,5200.367,4709.518037284965,5691.216085303719
2025-02-21 05:00:00+00:00,,7343.7617,6852.912577586187,7834.610625604941
2025-02-21 06:00:00+00:00,,7693.561,7202.711725495808,8184.409773514562
2025-02-21 07:00:00+00:00,,6281.869,5791.020026426284,6772.718074445038
2025-02-21 08:00:00+00:00,,6514.4624,6023.613246749625,7005.31129476838
2025-02-21 09:00:00+00:00,,6202.5166,5711.667405446924,6693.365453465678
2025-02-21 10:00:00+00:00,,4411.242,3920.393349560869,4902.091397579624
2025-02-21 11:00:00+00:00,,4259.4033,3768.554125937917,4750.252173956672
2025-02-21 12:00:00+00:00,,4942.697,4451.847845576359,5433.545893595113
2025-02-21 13:00:00+00:00,,5390.521,4899.672190400907,5881.370238419662
2025-02-21 14:00:00+00:00,,5442.6914,4951.842433938549,5933.540481957304
2025-02-21 15:00:00+00:00,,5561.93,5071.081118026828,6052.779166045582
2025-02-21 16:00:00+00:00,,6518.678,6027.829199868166,7009.527247886921
2025-02-21 17:00:00+00:00,,9723.397,9232.547889920454,10214.24593793921
2025-02-21 18:00:00+00:00,,11650.082,11159.23307771394,12140.931125732695
2025-02-21 19:00:00+00:00,,10962.93,10472.080417412097,11453.778465430849
2025-02-21 20:00:00+00:00,,11047.972,10557.122177060519,11538.820225079273
2025-02-21 21:00:00+00:00,,10013.219,9522.369470965054,10504.067518983808
2025-02-21 22:00:00+00:00,,8419.857,7929.008561141882,8910.706609160636
2025-02-21 23:00:00+00:00,,8623.831,8132.98211517526,9114.680163194014
2025-02-22 00:00:00+00:00,,8395.004,7904.154870365521,8885.852918384275
2025-02-22 01:00:00+00:00,,8562.089,8071.24011575684,9052.938163775594
2025-02-22 02:00:00+00:00,,8601.675,8110.826056236943,9092.524104255697
2025-02-22 03:00:00+00:00,,8639.8955,8149.046493060887,9130.74454107964
2025-02-22 04:00:00+00:00,,8049.2417,7558.39284084811,8540.090888866864
2025-02-22 05:00:00+00:00,,8323.944,7833.094806448171,8814.792854466925
2025-02-22 06:00:00+00:00,,8285.595,7794.745860908318,8776.44390892707
2025-02-22 07:00:00+00:00,,7961.54,7470.690766821067,8452.388814839822
2025-02-22 08:00:00+00:00,,5961.3174,5470.468404491484,6452.166452510238
2025-02-22 09:00:00+00:00,,5436.306,4945.456918955229,5927.154966973983
2025-02-22 10:00:00+00:00,,5930.0396,5439.190723314239,6420.888771332994
2025-02-22 11:00:00+00:00,,6333.743,5842.893988717515,6824.592036736269
2025-02-22 12:00:00+00:00,,6365.7095,5874.86046610007,6856.558514118824
2025-02-22 13:00:00+00:00,,5593.2637,5102.414780526004,6084.112828544758
2025-02-22 14:00:00+00:00,,5591.6465,5100.797591383566,6082.495639402321
2025-02-22 15:00:00+00:00,,5484.19,4993.340795664578,5975.038843683333
2025-02-22 16:00:00+00:00,,5221.0093,4730.160505324966,5711.85855334372
2025-02-22 17:00:00+00:00,,5641.367,5150.517955823319,6132.216003842073
2025-02-22 18:00:00+00:00,,5305.858,4815.008910601753,5796.706958620508
2025-02-22 19:00:00+00:00,,5636.523,5145.674134807451,6127.372182826205
2025-02-22 20:00:00+00:00,,6520.9497,6030.1008345109385,7011.7988825296925
2025-02-22 21:00:00+00:00,,4438.291,3947.4419376690707,4929.139985687825
