number,value,params_alpha,params_cloud_lags_option,params_compute_air_density,params_compute_cloud_cover_fraction,params_compute_cooling_degree_hours,params_compute_dew_point_spread,params_compute_effective_solar,params_compute_heating_degree_hours,params_compute_humidex,params_compute_pressure_trend,params_compute_rain_indicator,params_compute_temp_gradient,params_compute_wind_chill,params_compute_wind_components,params_compute_wind_power_density,params_compute_wind_speed_gradient,params_drop_basic_meteo_features,params_drop_rad_meteo_features,params_drop_wind_meteo_features,params_l1_ratio,params_lags_target,params_precip_lags_option,params_rolling_temp_option,params_spatial_agg_method,params_temp_lags_option,state
0,186958099819.61856,0.618515633744152,medium,True,True,True,True,True,False,False,False,False,False,False,True,True,False,False,False,True,0.5997268383916251,6.0,medium,none,None,small,COMPLETE
1,1527.5914366857658,0.6718802428563839,medium,True,True,True,True,True,False,False,True,False,True,True,True,False,True,False,True,False,0.3435644169842326,6.0,medium,none,distance_population,none,COMPLETE
2,311200.6021923306,0.11771966357218688,small,True,True,False,False,False,False,True,True,True,False,False,False,False,False,True,False,True,0.677817118070265,12.0,none,none,distance_population,medium,COMPLETE
3,1623.1055178618974,0.7091478336583884,medium,True,True,False,False,True,True,False,False,False,True,True,True,False,False,True,True,True,0.6656076515712895,6.0,small,long,distance_energy,none,COMPLETE
4,81730510564.89276,0.916910905903611,none,True,False,False,True,False,True,True,False,True,False,True,False,False,False,False,False,False,0.8478123857605748,12.0,medium,short,population,small,COMPLETE
5,49376638911.02029,0.32865111417132215,none,True,False,True,True,False,False,True,True,False,True,False,False,True,False,False,False,True,0.20542424912564322,1.0,medium,short,population,none,COMPLETE
6,1672.5699948986257,0.19051640677466541,medium,False,True,True,True,False,True,False,False,False,True,False,False,True,True,True,True,False,0.8224212960309958,1.0,small,long,energy,none,COMPLETE
7,1594.4364203462346,0.19397500754181304,none,False,True,False,False,True,True,False,True,True,False,True,True,True,True,False,True,True,0.21262687106392747,6.0,none,short,distance_population,medium,COMPLETE
8,1606.2310161997593,0.39073547537500486,medium,True,False,False,True,False,True,True,True,False,True,True,False,False,True,True,True,False,0.3678029991654568,6.0,medium,short,max,small,COMPLETE
9,35188.95761240654,0.46837961854851246,none,True,True,True,False,True,True,False,True,False,True,False,False,True,False,False,False,True,0.1185285162044935,,small,long,distance_energy,small,COMPLETE
10,1853.2874771250242,0.9243964622012562,small,False,False,True,True,True,False,False,True,True,True,True,True,False,True,False,True,False,0.4330284889180346,,medium,none,mean,none,COMPLETE
11,1764.2683057884205,0.010555267068938334,none,False,True,False,False,True,False,False,True,True,False,True,True,True,True,False,True,False,0.2754427367947096,6.0,none,none,distance_population,medium,COMPLETE
12,1592.5605577765707,0.719459114416808,medium,False,True,True,False,True,True,False,True,True,False,True,True,True,True,False,True,True,0.012828837681627236,6.0,none,short,distance_population,medium,COMPLETE
13,1659.5449196591746,0.7282675938394956,medium,False,True,True,False,True,False,False,True,True,False,True,True,False,True,False,True,False,0.03498864458392381,6.0,none,short,idw,medium,COMPLETE
14,1586.5393866117722,0.7829307526057672,medium,False,True,True,True,True,True,False,True,False,False,True,True,False,True,False,True,True,0.017447910309889902,6.0,none,none,distance_population,medium,COMPLETE
15,1663.5082800184982,0.8493978319750463,medium,False,True,True,True,True,False,False,True,False,True,True,True,False,True,False,True,False,0.4892257652448553,6.0,medium,none,distance_population,none,COMPLETE
16,1773.7041429582612,0.5872624747094892,medium,True,True,True,True,True,True,False,True,False,True,True,True,False,True,False,True,True,0.3388832058668517,,none,none,max,none,COMPLETE
17,1681.2149239372684,0.7896926825053241,small,False,True,True,True,True,False,False,True,False,False,True,True,False,True,False,True,False,0.12640713088343417,12.0,medium,none,energy,medium,COMPLETE
18,1663.067798938375,0.5775573131435895,medium,True,False,True,True,True,True,True,False,False,False,True,True,False,True,True,True,True,0.9837432559980418,1.0,none,none,idw,medium,COMPLETE
19,1690.950790459958,0.990700682094315,medium,False,True,True,True,True,False,False,True,False,True,True,True,False,True,False,True,False,0.5321776900662294,6.0,small,none,mean,none,COMPLETE
20,1568.8764775913187,0.4820331321063232,small,True,True,True,True,True,False,False,True,False,True,True,True,False,True,False,True,False,0.3100376945628589,6.0,medium,none,None,medium,COMPLETE
21,1568.8764775913187,0.461796511383878,small,True,True,True,True,True,False,False,True,False,True,True,True,False,True,False,True,False,0.34964029041575073,6.0,medium,none,None,medium,COMPLETE
