number,value,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.3606005935326716,0.7123520388475673,0.01433228901776186,3,81,0.3084670477216956,604,85,5.8448648833729196e-05,1.5860003702306598e-07,0.7005459749747518,COMPLETE
1,0.3759918051593635,0.7256683437293334,0.08334095539779439,7,13,0.09087715153731829,840,78,6.067617169345177e-08,0.19319613866760982,0.8612867188841804,COMPLETE
2,0.3701291234239833,0.9260713732077335,0.07817509887726595,5,68,0.31847006004095946,828,64,1.300332026942334e-07,0.08914327650886456,0.7040481448556348,COMPLETE
3,0.36776778929201,0.6979997837210759,0.07190330880360554,16,91,0.4555178863900051,611,148,0.010397552378019016,0.0001357624424401062,0.9319571620454126,COMPLETE
4,0.37571723219961906,0.6274807743571782,0.0694540850540874,6,26,0.029677944299459025,728,122,0.0005224909678037906,0.0006822721939399131,0.6278900664441119,COMPLETE
5,0.36265347939656156,0.9057106606962275,0.014709904787273978,12,53,0.3602273882865643,373,22,0.04214538416228501,0.4294578062497323,0.7060675360251858,COMPLETE
6,0.3707429089020299,0.9279129873160692,0.011714588624699379,15,52,0.025455729385333303,718,144,8.917108495258274e-06,0.17260041729491463,0.9023041236978118,COMPLETE
7,0.37746904418326366,0.693760562223883,0.11450087813733496,5,46,0.09753670607409565,592,81,1.4632327451620357e-08,6.414585035157064e-06,0.9765785114971106,COMPLETE
8,0.3643560637906563,0.5395915025062015,0.013615276835992568,9,79,0.03464401338039885,385,74,4.31139076871296e-07,8.582549889449896e-07,0.9252320666542777,COMPLETE
9,0.3668400840216216,0.6886392348719513,0.021034708304931364,13,35,0.028867344658640992,872,128,0.9168660433624274,1.569632206070019e-05,0.7316220006386751,COMPLETE
10,0.37775470534710825,0.8175468182361807,0.2351416639475453,3,99,0.21065140532986462,534,36,2.546882832299371e-05,2.8658537795735047e-08,0.5260502071994052,COMPLETE
11,0.36006422395201343,0.8136554330409412,0.028912829932670782,12,70,0.36885643987246003,307,14,0.009547342522756713,1.3678928479627815e-08,0.8043952329267291,COMPLETE
12,0.36688967732979383,0.8164559947768252,0.0279685043459352,10,71,0.4417178832088629,309,101,0.0009604843936393317,1.7035921943522466e-08,0.8150269134440353,COMPLETE
13,0.3682274512571586,0.8030955717228271,0.0334934562391,10,83,0.24679469919522354,476,46,0.005963977661113773,2.7429534351628745e-07,0.7988206201464978,COMPLETE
14,0.3665920146086307,0.5549589338717051,0.035996880188834006,13,65,0.3466488295074862,955,98,4.3838565629783386e-06,1.9350989506742383e-07,0.6317002877172705,COMPLETE
15,0.36024582315111103,0.7728574031317685,0.020004124629509318,3,81,0.3932299779686849,501,12,0.00018910805963724965,0.003238505183123254,0.6463675459399053,COMPLETE
16,0.3662119751511772,0.9821624215489175,0.04340755311673835,8,100,0.41233786030158825,460,21,0.29587033131479107,0.004563034346830861,0.5318069402563742,COMPLETE
17,0.35902731502072793,0.8515869930675216,0.026191680251861554,12,61,0.49442541850637156,304,11,0.000452862364439251,0.017372584640419457,0.6279149411249758,COMPLETE
18,0.3639190143467306,0.866398377630445,0.023279412383838172,12,59,0.4988114791852274,301,49,0.003008372234430959,0.017667261696602453,0.5850593187577551,COMPLETE
19,0.3665577554866527,0.9969292021014426,0.04807168593027884,14,39,0.493962427697382,387,33,0.04057836528455506,7.877298829348517e-05,0.7712752994602432,COMPLETE
20,0.3694303256084416,0.8581030361436124,0.14348060445105595,11,6,0.17382648474415907,418,12,0.062419120638144664,4.764481077556392e-06,0.8444129213959211,COMPLETE
21,0.36081750022198056,0.7759845834132163,0.019610455769286515,11,74,0.40391454981848013,527,12,0.0002314076416915378,0.003932166336267603,0.6459626600711705,COMPLETE
22,0.3644594680939819,0.7576195923623816,0.027688457780847383,14,61,0.38191743529201577,325,26,0.0013966565162442483,0.015079527405555161,0.5785082707832575,COMPLETE
23,0.36535948581836797,0.8633902676779777,0.01809258131589567,9,88,0.3002507099824886,481,53,0.00010228991799632031,0.0006307331866268813,0.6705280992851,COMPLETE
24,0.36341772715184106,0.633529585762687,0.010043329702500034,12,74,0.45333821718440154,422,10,0.000274546448102443,0.027013357145149117,0.587061499336419,COMPLETE
25,0.3658817990492874,0.7795811470853703,0.03953165508513576,8,57,0.42868337640069704,352,38,3.088477076270564e-06,0.0010362746343121436,0.7586042284883083,COMPLETE
26,0.36733617989656053,0.8281515328944017,0.028270269436184384,11,89,0.2638110817148341,685,23,0.012191329539973834,5.0286999760098065e-05,0.6050993476657219,COMPLETE
27,0.37051886208263757,0.9040858385421457,0.0551922219476441,14,44,0.3763300723058913,541,61,3.422501326128409e-05,0.003586090540139932,0.6614344854699119,COMPLETE
28,0.36289736306389786,0.653486743215366,0.016143016718566928,16,68,0.4698976673085313,435,29,0.00129573221031893,0.05899814692211524,0.5487277415369084,COMPLETE
29,0.36107425199877974,0.7590328111800848,0.024975520474657925,3,81,0.3310883325173407,353,41,9.643299771454317e-05,0.7841566904585838,0.7307595747306779,COMPLETE
