Parameter,Value
compute_air_density,False
compute_wind_power_density,True
encode_wind_direction,False
compute_wind_shear,False
compute_wind_ramp,True
compute_air_density_moiust_air_correction,True
dew_point_temperature,True
vapor_pressure,False
gust_factor,True
turbulence_window,0
lags_choice,large
precip_lags_choice,small
drop_raw_main_features,False
drop_raw_wind_features,False
spatial_agg_method,max
lags_target,
n_estimators,942
learning_rate,0.03077918975193046
num_leaves,20
max_depth,3
min_child_samples,63
subsample,0.5053121246235837
colsample_bytree,0.7258410896242614
reg_alpha,1.0495517309946916e-06
reg_lambda,4.583473291482106e-06
min_split_gain,0.3519428565947589
