number,value,params_cloud_lags_option,params_colsample_bytree,params_compute_air_density,params_compute_air_density_moist,params_compute_clear_sky_fraction,params_compute_cloud_cover_fraction,params_compute_diffuse_ratio,params_compute_direct_ratio,params_compute_dni_ratio,params_compute_global_tilted_ratio,params_dew_point_temperature,params_drop_raw_features,params_drop_raw_solar_features,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_precip_lags_option,params_reg_alpha,params_reg_lambda,params_shortwave_lags_option,params_spatial_agg_method,params_subsample,params_use_base_models_pred_intervals,params_use_solar_geometry,params_vapor_pressure,state
0,367.78182421758646,small,0.750289817849397,False,False,False,True,True,True,True,False,False,True,True,0.1490725271235823,4,9,866,none,1.2785403685574441e-08,1.8994424492117054e-06,large,distance_capacity,0.5243067012525648,False,True,False,COMPLETE
1,355.54435327198263,large,0.9963431566062921,False,False,False,True,False,True,True,True,True,False,True,0.05955914140390828,5,7,532,none,3.0402608013796533e-07,0.05281301435229854,medium,capacity,0.8740298271842003,True,True,True,COMPLETE
2,358.97893342532166,medium,0.8243955280710284,True,False,True,False,False,True,False,False,False,True,True,0.1418860426653734,10,8,360,none,4.058468985953535e-08,0.027638192568771647,none,distance_capacity,0.5465103228047811,False,True,False,COMPLETE
3,393.5687522649675,medium,0.7188135312133144,True,True,True,False,True,False,False,False,True,True,False,0.07068643865248074,5,7,354,large,5.325170738864557e-07,5.861316635567577e-07,none,distance_n_panels,0.8402073979225391,True,False,False,COMPLETE
4,373.34330292682074,small,0.7307645987084569,False,True,False,False,False,False,False,False,True,True,False,0.07108661604614147,4,5,829,none,9.013084621780182e-05,0.6354573832467526,none,None,0.5957945346101252,True,False,False,COMPLETE
5,357.6235681228668,large,0.5139004384705287,True,False,True,True,False,True,True,True,False,True,False,0.011072835968097614,6,1,481,none,7.341683660808818e-07,0.4778395235692455,medium,distance_n_panels,0.9313350252593304,False,False,True,COMPLETE
6,371.4183591981792,small,0.5172961011965334,True,True,True,False,False,True,False,False,False,False,False,0.01638706761404683,8,6,581,large,0.015432955410632812,4.773744674782096e-07,none,idw,0.8202811786786962,True,True,True,COMPLETE
7,384.43228148104566,large,0.7585094977551357,False,False,False,False,False,True,True,True,False,False,True,0.05884565894681666,3,10,342,small,1.752519170515696e-05,7.6973603940182e-06,large,idw,0.5114765504959575,True,False,False,COMPLETE
8,351.98398917843724,large,0.7225566860067187,False,True,False,True,False,False,True,True,False,True,True,0.05968249434708963,6,4,482,none,1.6134160253014723e-07,0.010578595009571073,medium,None,0.5628033651332776,True,True,False,COMPLETE
9,357.99253666224394,none,0.8569281659506229,False,True,True,False,False,True,False,True,False,False,False,0.023299537697370153,10,3,808,small,0.007108211126999281,0.07253305387049092,medium,distance_capacity,0.7181791738825386,False,False,False,COMPLETE
10,360.9496257236862,none,0.6361654078198229,False,True,False,True,True,False,True,True,True,True,True,0.2625365692967869,8,4,710,small,0.7426559859239446,0.0006641636488128215,small,n_panels,0.6839501231912513,True,True,True,COMPLETE
11,361.9520237303223,large,0.9911697040133333,False,False,False,True,False,False,True,True,True,False,True,0.03226828705753691,7,2,537,none,1.6552023800933676e-06,0.0009662618241642784,medium,capacity,0.9604604359512752,True,True,True,COMPLETE
12,374.13447536961894,large,0.990966508168095,False,False,False,True,False,False,True,True,True,False,True,0.036773688534036605,6,6,666,none,1.2881863590894503e-07,0.004003981637335116,medium,mean,0.8124330612442434,True,True,True,COMPLETE
13,407.97595125007774,large,0.8866393226670299,False,True,False,True,False,False,True,True,True,False,True,0.10944524882934371,5,4,470,none,9.03369556356688e-06,4.611189844920824e-05,medium,max,0.6388462073488402,True,True,True,COMPLETE
14,341.3190798367632,large,0.6268652266557954,False,False,False,True,True,True,True,True,False,True,True,0.04237159590676283,7,7,962,none,1.007943535139777e-08,0.01408892435717836,small,capacity,0.8948158749061286,True,True,False,COMPLETE
15,360.7398731542712,large,0.6209069643060281,False,True,False,True,True,False,True,True,False,True,True,0.036278492023310266,8,5,995,large,3.1614977825007296e-08,3.812319867406558e-08,small,None,0.9878079789975278,True,True,False,COMPLETE
16,361.0567413225006,large,0.634173064080933,False,True,False,True,True,True,True,True,False,True,True,0.09718117246984757,7,8,938,none,1.0307934113637349e-08,0.006011149636244947,small,capacity,0.7844391065498594,True,True,False,COMPLETE
17,339.4965958960349,medium,0.5842969807168028,False,False,False,True,True,False,True,True,False,True,True,0.023547065426878434,9,3,742,none,0.0006135451380299609,0.00015799319880490368,small,None,0.9129351580019004,True,True,False,COMPLETE
18,355.90796033320436,medium,0.5847422864386713,True,False,False,True,True,True,True,True,False,True,True,0.021489606886160147,9,1,758,large,0.0018426254908236414,8.110948980994774e-05,small,n_panels,0.9100640354947083,False,True,False,COMPLETE
19,338.2455796635645,medium,0.5758154073062979,False,False,False,True,True,False,True,True,False,True,True,0.010439862074200003,9,3,913,small,0.0004013532453461759,0.0005206699716518364,small,max,0.8825312407014964,True,True,False,COMPLETE
