Parameter,Value
compute_cloud_cover_fraction,True
compute_clear_sky_fraction,False
use_solar_geometry,True
compute_air_density,False
compute_air_density_moist,False
compute_direct_ratio,False
compute_diffuse_ratio,True
compute_dni_ratio,True
compute_global_tilted_ratio,True
dew_point_temperature,False
vapor_pressure,False
precip_lags_option,small
cloud_lags_option,medium
shortwave_lags_option,small
drop_raw_solar_features,True
drop_raw_features,True
spatial_agg_method,max
n_estimators,913
learning_rate,0.010439862074200003
max_depth,9
min_child_weight,3
subsample,0.8825312407014964
colsample_bytree,0.5758154073062979
reg_alpha,0.0004013532453461759
reg_lambda,0.0005206699716518364
use_base_models_pred_intervals,False
cv_folds_base,40
