date,wind_offshore_50hz_actual,wind_offshore_50hz_fitted,wind_offshore_50hz_lower,wind_offshore_50hz_upper
2025-01-27 01:00:00+00:00,286.25,206.51425,27.72988931213888,385.29859491295355
2025-01-27 02:00:00+00:00,315.0,407.5379,228.7535477210585,586.3222533218732
2025-01-27 03:00:00+00:00,623.0,528.788,350.00369987992246,707.5724054807371
2025-01-27 04:00:00+00:00,806.5,733.9501,555.1657514553559,912.7344570561706
2025-01-27 05:00:00+00:00,1129.0,1009.6909,830.9065509279958,1188.4752565288104
2025-01-27 06:00:00+00:00,1366.25,1140.2429,961.4585725733525,1319.0272781741671
2025-01-27 07:00:00+00:00,1315.0,1093.0314,914.2470336946996,1271.815739295514
2025-01-27 08:00:00+00:00,921.0,947.8063,769.0219197518497,1126.5906253526646
2025-01-27 09:00:00+00:00,1103.0,1097.5176,918.7333079544787,1276.3020135552933
2025-01-27 10:00:00+00:00,1134.25,1122.5084,943.7241027322975,1301.2928083331121
2025-01-27 11:00:00+00:00,883.25,923.258,744.4736706858599,1102.0423762866744
2025-01-27 12:00:00+00:00,1072.0,1049.7273,870.9429429949329,1228.5116485957474
2025-01-27 13:00:00+00:00,999.25,979.53925,800.7549113411278,1158.3236169419424
2025-01-27 14:00:00+00:00,1395.25,1135.2129,956.4286122069152,1313.9973178077298
2025-01-27 15:00:00+00:00,1345.75,1231.3572,1052.5728044360167,1410.1415100368313
2025-01-27 16:00:00+00:00,1407.0,1352.5288,1173.7444731104438,1531.3131787112584
2025-01-27 17:00:00+00:00,1266.5,1288.2291,1109.4447528427395,1467.013458443554
2025-01-27 18:00:00+00:00,1275.25,1208.491,1029.7066224725702,1387.275328073385
2025-01-27 19:00:00+00:00,1133.25,1086.5525,907.7682006235731,1265.3369062243878
2025-01-27 20:00:00+00:00,946.25,955.83344,777.0491179055487,1134.6178235063633
2025-01-27 21:00:00+00:00,1013.75,948.81464,770.0302934754334,1127.598999076248
2025-01-27 22:00:00+00:00,620.0,785.71454,606.9301763755072,964.4988819763219
2025-01-27 23:00:00+00:00,856.5,765.3619,586.5775126447629,944.1462182455776
2025-01-28 00:00:00+00:00,809.5,784.13153,605.3471763561511,962.9158819569658
2025-01-28 01:00:00+00:00,840.75,661.4734,482.68906284875857,840.2577684495732
2025-01-28 02:00:00+00:00,969.5,598.2035,419.419113944017,776.9878195448316
2025-01-28 03:00:00+00:00,637.75,702.18396,523.3996001702699,880.9683057710846
2025-01-28 04:00:00+00:00,710.75,629.65784,450.87348434575284,808.4421899465674
2025-01-28 05:00:00+00:00,730.25,528.9813,350.19697721409807,707.7656828149127
2025-01-28 06:00:00+00:00,953.0,858.096,679.3116920034751,1036.8803976042898
2025-01-28 07:00:00+00:00,705.25,715.9195,537.1351170205597,894.7038226213745
2025-01-28 08:00:00+00:00,587.75,587.9769,409.1926006271632,766.7613062279778
2025-01-28 09:00:00+00:00,330.5,382.30527,203.52091974687846,561.0896253476931
2025-01-28 10:00:00+00:00,153.75,234.2265,55.44214484795475,413.0108504487694
2025-01-28 11:00:00+00:00,63.25,154.91208,-23.872285681590256,333.69641991922447
2025-01-28 12:00:00+00:00,11.75,99.84631,-78.9380340964525,278.6306715043622
2025-01-28 13:00:00+00:00,18.0,45.84628,-132.93807374656262,224.63063185425204
2025-01-28 14:00:00+00:00,119.75,136.11902,-42.665340601243656,314.90336499957095
2025-01-28 15:00:00+00:00,164.75,179.71042,0.9260632464092851,358.4947688472239
2025-01-28 16:00:00+00:00,113.0,104.60745,-74.17691313955561,283.391792461259
2025-01-28 17:00:00+00:00,138.0,107.37714,-71.40723459542983,286.1614710053849
2025-01-28 18:00:00+00:00,123.25,107.84619,-70.93816112695447,286.63054447386014
2025-01-28 19:00:00+00:00,95.25,72.5473,-106.23706267352645,251.33164292728816
2025-01-28 20:00:00+00:00,61.24999999999994,61.62579,-117.15857729811955,240.4101283026951
2025-01-28 21:00:00+00:00,83.0,142.66113,-36.123218363208366,321.44548723760624
2025-01-28 22:00:00+00:00,114.5,97.13928,-81.64506141571314,275.9236441851015
2025-01-28 23:00:00+00:00,248.5,126.11923,-52.66510871559035,304.9035968852243
2025-01-29 00:00:00+00:00,256.25,199.45917,20.674808509212312,378.243514110027
2025-01-29 01:00:00+00:00,351.5,207.34497,28.56062275749838,386.129328358313
2025-01-29 02:00:00+00:00,495.0,277.26846,98.48412111055728,456.05282671137195
2025-01-29 03:00:00+00:00,438.25,364.86307,186.07872039500694,543.6474259958215
2025-01-29 04:00:00+00:00,322.75,356.8183,178.03395225419064,535.6026578550053
2025-01-29 05:00:00+00:00,246.75,251.38248,72.59813416005699,430.16683976087165
2025-01-29 06:00:00+00:00,224.25,226.73212,47.94776120525421,405.5164668060689
2025-01-29 07:00:00+00:00,240.25,338.2563,159.47193867799422,517.0406442788088
2025-01-29 08:00:00+00:00,364.25,393.44196,214.65760690659403,572.2263125074087
2025-01-29 09:00:00+00:00,384.75,358.42838,179.64403822948128,537.212743830296
2025-01-29 10:00:00+00:00,372.25,353.49097,174.70663262120303,532.2753382220177
2025-01-29 11:00:00+00:00,420.75,395.73312,216.94878904664222,574.5174946474568
2025-01-29 12:00:00+00:00,535.0,506.22424,327.43987918683877,685.0085847876535
2025-01-29 13:00:00+00:00,569.5,576.324,397.53964225559037,755.108347856405
2025-01-29 14:00:00+00:00,640.0,690.6219,511.83751199114715,869.4062175919619
2025-01-29 15:00:00+00:00,709.5,749.9543,571.1699364077386,928.7386420085533
2025-01-29 16:00:00+00:00,958.0,771.92804,593.1436640331071,950.7123696339218
2025-01-29 17:00:00+00:00,1273.25,962.1341,783.3497259182443,1140.9184315190591
2025-01-29 18:00:00+00:00,1353.5,1260.6072,1081.822872429767,1439.3915780305815
2025-01-29 19:00:00+00:00,1475.0,1317.996,1139.2116602154797,1496.7803658162943
2025-01-29 20:00:00+00:00,1501.0,1396.8722,1218.0878777229086,1575.6565833237232
2025-01-29 21:00:00+00:00,1500.5,1424.6727,1245.8883819080888,1603.457087508904
2025-01-29 22:00:00+00:00,1505.75,1383.0168,1204.2324676397996,1561.8011732406144
2025-01-29 23:00:00+00:00,1510.5,1386.5216,1207.7372680655003,1565.305973666315
2025-01-30 00:00:00+00:00,1499.75,1328.8058,1150.0214286587689,1507.5901342595835
2025-01-30 01:00:00+00:00,1415.25,1248.4462,1069.6618895762963,1427.230595177111
2025-01-30 02:00:00+00:00,1410.25,1249.019,1070.234708369612,1427.8034139704268
2025-01-30 03:00:00+00:00,1340.0,1223.6193,1044.8348864181717,1402.4035920189863
2025-01-30 04:00:00+00:00,1308.25,1192.5358,1013.7514261529523,1371.3201317537669
2025-01-30 05:00:00+00:00,1303.0,1259.6337,1080.8493197093965,1438.4180253102113
2025-01-30 06:00:00+00:00,1346.25,1098.7054,919.9211560396617,1277.4898616404764
2025-01-30 07:00:00+00:00,1300.0,1142.0664,963.2820767431458,1320.8507823439604
2025-01-30 08:00:00+00:00,1409.75,1159.2014,980.4170937105646,1337.9857993113792
2025-01-30 09:00:00+00:00,1206.5,1274.4885,1095.7042254893154,1453.2729310901302
2025-01-30 10:00:00+00:00,1245.5,1130.5667,951.7822676560295,1309.350973256844
2025-01-30 11:00:00+00:00,1287.5,1123.6643,944.8800005534636,1302.4487061542782
2025-01-30 12:00:00+00:00,1153.0,980.1589,801.3745125509743,1158.9432181517889
2025-01-30 13:00:00+00:00,1244.5,1132.1238,953.3394310226197,1310.9081366234345
2025-01-30 14:00:00+00:00,1070.25,1084.1029,905.3186094998234,1262.8873151006383
2025-01-30 15:00:00+00:00,873.5,1032.8367,854.0523109920497,1211.6210165928642
2025-01-30 16:00:00+00:00,935.75,871.8609,693.0765674782297,1050.6452730790443
2025-01-30 17:00:00+00:00,890.75,701.6026,522.8182356116619,880.3869412124765
2025-01-30 18:00:00+00:00,811.5,809.1747,630.3903621243005,987.9590677251151
2025-01-30 19:00:00+00:00,691.5,613.7672,434.9828464319013,792.551552032716
2025-01-30 20:00:00+00:00,546.25,502.28677,323.50241450575527,681.0711201065699
2025-01-30 21:00:00+00:00,495.0,403.62408,224.83973341219553,582.4084390130101
2025-01-30 22:00:00+00:00,384.5,381.10614,202.32178806179928,559.890493662614
2025-01-30 23:00:00+00:00,395.75,281.56125,102.77688628377791,460.3455918845925
2025-01-31 00:00:00+00:00,553.5,401.30365,222.51931226181563,580.0880178626303
2025-01-31 01:00:00+00:00,545.25,569.91626,391.13189985094755,748.7006054517622
2025-01-31 02:00:00+00:00,474.25,476.3211,297.53676454256043,655.1054701433751
2025-01-31 03:00:00+00:00,519.25,404.9884,226.20405221518934,583.772757816004
2025-01-31 04:00:00+00:00,552.25,535.6234,356.8390821233644,714.4077877241791
2025-01-31 05:00:00+00:00,490.0,611.24396,432.4595929378048,790.0282985386194
2025-01-31 06:00:00+00:00,479.75,467.00854,288.22419291376326,645.7928985145779
2025-01-31 07:00:00+00:00,513.5,450.55167,271.76731498392064,629.3360205847353
2025-01-31 08:00:00+00:00,599.5,507.8604,329.0760609788505,686.6447665796651
2025-01-31 09:00:00+00:00,567.0,521.60986,342.8255103836941,700.3942159845087
2025-01-31 10:00:00+00:00,407.25,452.03885,273.25451072783324,630.823216328648
2025-01-31 11:00:00+00:00,354.25,432.52988,253.74553199497944,611.3142375957941
2025-01-31 12:00:00+00:00,302.25,185.52264,6.73827346289238,364.306979063707
2025-01-31 13:00:00+00:00,191.25,273.64246,94.85811169657256,452.4268172973872
2025-01-31 14:00:00+00:00,235.25,266.17816,87.39379107267666,444.96249667349133
2025-01-31 15:00:00+00:00,435.0,430.43143,251.64706815916497,609.2157737599796
2025-01-31 16:00:00+00:00,463.25,550.45856,371.67419238723323,729.2428979880478
2025-01-31 17:00:00+00:00,457.75,413.73508,234.95071608947643,592.5194216902911
2025-01-31 18:00:00+00:00,458.0,367.2794,188.49504549927468,546.0637511000893
2025-01-31 19:00:00+00:00,563.25,602.2678,423.4834825751696,781.0521881759843
2025-01-31 20:00:00+00:00,590.5,634.6719,455.887549322937,813.4562549237517
2025-01-31 21:00:00+00:00,770.25,655.3093,476.5249478524747,834.0936534532893
2025-01-31 22:00:00+00:00,719.75,534.2405,355.4561233474525,713.0248289482671
2025-01-31 23:00:00+00:00,725.25,548.8899,370.10552446686177,727.6742300676765
2025-02-01 00:00:00+00:00,716.75,686.80554,508.0211832008218,865.5898888016364
2025-02-01 01:00:00+00:00,661.5,654.48486,475.7005140847958,833.2692196856104
2025-02-01 02:00:00+00:00,596.25,591.8187,413.03439061478076,770.6030962155954
2025-02-01 03:00:00+00:00,540.25,458.4021,279.6177433844757,637.1864489852904
2025-02-01 04:00:00+00:00,375.5,471.32004,292.5356976345146,650.1044032353293
2025-02-01 05:00:00+00:00,333.25,355.036,176.25166179850572,533.8203673993204
2025-02-01 06:00:00+00:00,263.25,269.78204,90.99768516248332,448.56639076329793
2025-02-01 07:00:00+00:00,222.25,206.2055,27.42115194395501,384.9898575447697
2025-02-01 08:00:00+00:00,140.75,154.96802,-23.81633284818281,333.75237275263186
2025-02-01 09:00:00+00:00,112.5,96.24069,-82.5436559459605,275.0250496548541
2025-02-01 10:00:00+00:00,65.75,76.99805,-101.786300520841,255.7824050799736
2025-02-01 11:00:00+00:00,25.500000000000057,79.198425,-99.58593208879108,257.9827735120236
2025-02-01 12:00:00+00:00,8.75,62.385098,-116.3992667807247,241.1694388200899
2025-02-01 13:00:00+00:00,7.0,50.138577,-128.64578702987478,228.92291857093994
2025-02-01 14:00:00+00:00,12.75,66.0574,-112.72695340674204,244.84175219407263
2025-02-01 15:00:00+00:00,28.75,87.18289,-91.60144947109495,265.9672561297197
2025-02-01 16:00:00+00:00,33.00000000000006,122.038055,-56.746289777683614,300.822415823131
2025-02-01 17:00:00+00:00,27.499999999999943,97.71515,-81.06921239769031,276.49949320312436
2025-02-01 18:00:00+00:00,42.75000000000006,114.37106,-64.41328990501484,293.1554156957998
2025-02-01 19:00:00+00:00,57.0,47.636074,-131.14827418140612,226.4204314194085
2025-02-01 20:00:00+00:00,60.49999999999994,62.412197,-116.3721542438717,241.1965513569429
