Parameter,Value
compute_cloud_cover_fraction,False
compute_clear_sky_fraction,True
use_solar_geometry,False
compute_air_density,False
compute_air_density_moist,True
compute_direct_ratio,True
compute_diffuse_ratio,True
compute_dni_ratio,False
compute_global_tilted_ratio,False
dew_point_temperature,True
vapor_pressure,False
precip_lags_option,none
cloud_lags_option,small
shortwave_lags_option,medium
drop_raw_solar_features,False
drop_raw_features,False
spatial_agg_method,max
lags_target,
n_estimators,999
learning_rate,0.02128475748413291
num_leaves,14
max_depth,6
min_child_samples,87
subsample,0.5659119753964158
colsample_bytree,0.919060201427415
reg_alpha,0.017375438547303893
reg_lambda,0.0005951746872704098
min_split_gain,0.11758181523388
