number,value,params_cloud_lags_option,params_colsample_bytree,params_compute_air_density,params_compute_air_density_moist,params_compute_clear_sky_fraction,params_compute_cloud_cover_fraction,params_compute_diffuse_ratio,params_compute_direct_ratio,params_compute_dni_ratio,params_compute_global_tilted_ratio,params_dew_point_temperature,params_drop_raw_features,params_drop_raw_solar_features,params_lags_target,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_precip_lags_option,params_reg_alpha,params_reg_lambda,params_shortwave_lags_option,params_spatial_agg_method,params_subsample,params_use_solar_geometry,params_vapor_pressure,state
0,486.11395797867914,small,0.5574428430900283,False,False,False,False,False,True,False,True,False,True,False,,0.05559710774322829,6,52,0.3182745528183756,485,43,small,4.569101125961962e-06,2.0353135903100887e-08,small,distance_capacity,0.6555883073610989,True,True,COMPLETE
1,522.8909146460375,none,0.8403613345442977,False,False,True,False,False,True,False,False,False,True,True,1.0,0.017330094430666167,9,15,0.11750413543017224,800,45,none,1.7563273523999083e-08,0.0035171401359772795,large,mean,0.6397621511736016,False,False,COMPLETE
2,512.8360252317556,none,0.7180027752701983,False,False,False,True,True,False,False,True,False,True,False,12.0,0.07383539966447669,15,59,0.3203831600385282,876,121,small,2.6998601323311144e-08,0.0002149585262311695,small,capacity,0.5417951685603036,False,False,COMPLETE
3,482.854973318834,small,0.8549286276633941,True,True,True,False,False,False,True,True,True,False,True,,0.030287772502202458,7,65,0.31878958931271306,774,130,small,1.4002606565507724e-07,6.0681091194252044e-05,large,idw,0.7983153560151925,False,True,COMPLETE
4,501.06470705510475,small,0.772016647766854,True,True,False,True,False,False,False,True,True,True,False,12.0,0.11191281343821746,12,46,0.33472947045368395,894,91,small,1.4669004893058003e-07,4.253410078355457e-05,none,distance_n_panels,0.7638836376912566,True,True,COMPLETE
5,509.7835655451485,large,0.8452310110760823,False,False,True,True,False,False,True,True,True,False,True,,0.06924430733261337,11,52,0.1380989216808456,752,118,large,0.14756676795438273,0.22001142698030457,none,capacity,0.8823638794044555,False,True,COMPLETE
6,508.7922961406745,medium,0.6208720087410319,False,True,True,True,True,True,False,False,True,True,True,,0.04406574139010991,16,61,0.31744042948586515,570,55,large,1.1034212029712693e-08,0.0069250599250946995,small,capacity,0.7994884167394414,False,True,COMPLETE
7,538.8394914741042,small,0.5403269395161397,True,True,True,True,False,False,True,False,False,True,True,,0.24862847570894328,4,50,0.06338801412538814,817,44,small,0.35082122508526525,1.0300476081646583e-05,none,n_panels,0.8549185574759793,False,True,COMPLETE
8,519.6248324999851,medium,0.650988853495,False,True,True,True,False,True,True,False,True,True,False,6.0,0.08897424927148655,6,50,0.2697729255732087,346,33,large,8.628400050001715e-06,0.08903806573448853,large,distance_capacity,0.5142114095952031,True,True,COMPLETE
9,488.1539430428875,medium,0.6197821239139185,False,True,False,True,True,True,True,True,False,False,False,1.0,0.011990487746549957,9,87,0.10385872508849209,977,114,large,2.3377426453172232e-06,1.9888807491528555e-05,large,max,0.5506937025072984,True,False,COMPLETE
10,593.8948578334932,large,0.9799475924646288,True,True,True,False,True,False,True,True,True,False,True,6.0,0.02597014606379286,3,100,0.4629236010542413,648,145,none,0.002326124946474763,1.685206871496848e-07,medium,idw,0.9912504262841528,False,False,COMPLETE
11,462.5451436948872,small,0.948465435299693,True,False,False,False,False,True,False,True,False,False,False,,0.03270893360918179,7,29,0.4258864306485423,432,13,small,0.00015677439363011745,1.332008787839253e-08,small,idw,0.667147765714632,True,True,COMPLETE
12,491.4889646581937,small,0.9758265349138179,True,False,False,False,False,False,False,True,False,False,True,,0.02988695454413298,7,24,0.460104899194557,345,18,small,0.00033426410871553643,7.133362723592115e-07,medium,idw,0.6712002198390166,True,True,COMPLETE
13,467.31366855013204,small,0.8954024588162603,True,False,False,False,False,True,True,True,True,False,False,,0.031462113312623836,7,31,0.4200324008548809,480,75,small,0.004010174053473104,1.7316703482395054e-08,large,idw,0.7249766893891116,True,True,COMPLETE
14,476.210643455061,small,0.9150055755568071,True,False,False,False,False,True,False,True,False,False,False,,0.018759978477857316,5,32,0.4082813553856121,483,75,small,0.01476865206611399,1.0034329475403197e-08,small,None,0.6974973851772066,True,True,COMPLETE
15,468.4011129877319,small,0.9375763274313474,True,False,False,False,False,True,True,True,True,False,False,,0.15191396055340417,8,5,0.40646039537995415,460,74,small,0.000217776551563569,2.431670301359118e-07,large,idw,0.5937796917032281,True,True,COMPLETE
16,541.4789362564896,small,0.8966500459442945,True,False,False,False,False,True,False,True,False,False,False,6.0,0.04599163468986734,11,34,0.20539017533519432,579,14,none,0.005941653306252259,2.113127609786755e-06,small,idw,0.7186464693681768,True,True,COMPLETE
17,500.56282239863003,none,0.7669765092898977,True,False,False,False,False,True,True,True,True,False,False,1.0,0.011845916674649046,14,36,0.4994660807676946,398,92,small,4.1594865108947195e-05,6.270739369218426e-08,medium,None,0.7439331748466103,True,True,COMPLETE
18,628.2180552641577,large,0.9903773160745853,True,False,False,False,True,True,True,False,False,False,False,12.0,0.02154341896178768,3,20,0.38715403109212987,303,67,small,0.03834883567011451,4.559059857418678e-08,small,n_panels,0.6229369213512346,True,False,COMPLETE
19,481.70978977796307,small,0.810801925595777,True,False,False,False,False,True,False,True,True,False,False,,0.03721848791772129,10,76,0.25341154834907254,563,97,none,0.0009979369732534772,2.5655482855835553e-06,large,distance_n_panels,0.8787133780131086,True,True,COMPLETE
20,462.079964336011,small,0.9075690796572796,True,False,False,False,False,True,True,True,True,False,False,,0.016566529930043147,5,9,0.20557536349332986,421,26,small,0.04923143899360367,0.0013053475417734055,small,mean,0.9778109534241534,True,True,COMPLETE
21,462.78563555030127,small,0.8914053537829085,True,False,False,False,False,True,True,True,True,False,False,,0.015431112668208779,5,6,0.18956683341735464,429,21,small,0.9709748299039695,0.0007472311301421776,small,mean,0.9515537695696772,True,True,COMPLETE
22,463.9744058237217,small,0.9265256036024092,True,False,False,False,False,True,True,True,True,False,False,,0.014589861979929826,5,9,0.19639633524017272,413,22,small,0.9098165868677854,0.0010199851274083243,small,mean,0.9849162181465181,True,True,COMPLETE
23,462.9654770281866,small,0.8713844036708491,True,False,False,False,False,True,True,True,True,False,False,,0.010238460523689506,5,13,0.19690636084249485,410,31,small,0.058548407474302136,0.025252321439849332,small,mean,0.9461613071741438,True,True,COMPLETE
24,460.59422146220277,small,0.9499674360647382,True,False,False,False,False,True,True,True,True,False,False,,0.021679618121743554,4,23,0.15856192508112654,663,10,small,0.5522501901151505,0.00047804628773350796,small,mean,0.9291595726580121,True,True,COMPLETE
25,451.5792230596785,small,0.9523515794028107,True,False,False,False,False,True,True,True,True,False,False,,0.022162174295295562,4,22,0.03666868257774031,689,12,small,0.06957799633245317,0.0002919831094834818,small,mean,0.9229722960925819,True,True,COMPLETE
26,563.9602030315556,none,0.9517401153454664,True,False,False,False,True,True,True,False,True,False,False,6.0,0.02268969910398293,3,21,0.015696600440841185,680,10,small,0.1015011277139123,0.9618684845954676,small,mean,0.9238825652830014,True,False,COMPLETE
27,534.8642067460574,large,0.8178217514425208,True,False,False,False,False,True,True,True,True,False,False,1.0,0.020856058526726385,4,41,0.008312110815537774,693,34,small,0.019203786226624102,0.00025620381450238637,small,mean,0.9203330470381251,True,True,COMPLETE
28,553.7044726814506,medium,0.9969608879053985,True,False,False,False,False,True,True,True,True,False,False,12.0,0.014633659360891015,4,17,0.0735649628524955,630,58,large,0.2231612412015557,0.0031589609139156464,small,mean,0.8438934961772859,True,True,COMPLETE
29,455.40935243428675,small,0.7373577229126561,True,False,False,False,False,True,True,True,True,False,False,,0.042792276826337954,6,27,0.05317237955477862,530,26,none,0.013318400250796123,0.0007433735940009778,small,max,0.8922980381460762,True,True,COMPLETE
