date,wind_offshore_rte_actual,wind_offshore_rte_fitted,wind_offshore_rte_lower,wind_offshore_rte_upper
2025-11-23 00:00:00+00:00,,570.0436,426.88268978294184,713.2044274995917
2025-11-23 01:00:00+00:00,,497.48526,354.32439553585584,640.6461332525057
2025-11-23 02:00:00+00:00,,579.5003,436.3394096228267,722.6611473394764
2025-11-23 03:00:00+00:00,,423.58112,280.42024352455235,566.7419812412021
2025-11-23 04:00:00+00:00,,382.78668,239.6258226278231,525.9475603444729
2025-11-23 05:00:00+00:00,,647.8979,504.7370004395508,791.0587381562005
2025-11-23 06:00:00+00:00,,707.4829,564.3220157223992,850.6437534390491
2025-11-23 07:00:00+00:00,,639.2852,496.1243401712591,782.4460778879089
2025-11-23 08:00:00+00:00,,578.0134,434.8525881163916,721.1743258330414
2025-11-23 09:00:00+00:00,,652.793,509.6321800330118,795.9539177496616
2025-11-23 10:00:00+00:00,,370.4864,227.3255167771247,513.6472544937745
2025-11-23 11:00:00+00:00,,502.09814,358.93726647636134,645.2590041930112
2025-11-23 12:00:00+00:00,,892.36926,749.2083859228321,1035.5301236394819
2025-11-23 13:00:00+00:00,,791.27356,648.1126550803485,934.4343927969983
2025-11-23 14:00:00+00:00,,549.83105,406.67020745663126,692.991945173281
2025-11-23 15:00:00+00:00,,586.30994,443.1490919671154,729.4708296837651
2025-11-23 16:00:00+00:00,,502.36954,359.2086584628924,645.5303961795422
2025-11-23 17:00:00+00:00,,553.11926,409.95839073254274,696.2801284491925
2025-11-23 18:00:00+00:00,,571.35004,428.18915251001334,714.5108902266632
2025-11-23 19:00:00+00:00,,549.5334,406.37249959545113,692.694237312101
2025-11-23 20:00:00+00:00,,387.69775,244.5368732049628,530.8586109216126
2025-11-23 21:00:00+00:00,,374.19955,231.03868453014684,517.3604222467966
2025-11-23 22:00:00+00:00,,529.75885,386.59796465234945,672.9197023689992
2025-11-23 23:00:00+00:00,,488.5528,345.39190946770657,631.7136471843563
2025-11-24 00:00:00+00:00,,443.22308,300.06221059737936,586.3839483140291
2025-11-24 01:00:00+00:00,,521.72534,378.5644772452016,664.8862149618515
2025-11-24 02:00:00+00:00,,640.50476,497.343855817702,783.6655935343517
2025-11-24 03:00:00+00:00,,568.44165,425.28080620581267,711.6025439224625
2025-11-24 04:00:00+00:00,,528.463,385.3021441503677,671.6238818670175
2025-11-24 05:00:00+00:00,,445.50308,302.34220313680964,588.6639408534594
2025-11-24 06:00:00+00:00,,715.1867,572.0258482641098,858.3475859807595
2025-11-24 07:00:00+00:00,,553.83966,410.6788094006092,697.000547117259
2025-11-24 08:00:00+00:00,,655.82135,512.6604673649679,798.9822050816176
2025-11-24 09:00:00+00:00,,438.8063,295.645422908266,581.9671606249158
2025-11-24 10:00:00+00:00,,593.7316,450.5707378297969,736.8924755464467
2025-11-24 11:00:00+00:00,,633.88165,490.7207935810054,777.0425312976552
2025-11-24 12:00:00+00:00,,683.3301,540.1692266864741,826.4909644031238
2025-11-24 13:00:00+00:00,,734.66675,591.5058974905907,877.8276352072404
2025-11-24 14:00:00+00:00,,750.0596,606.8987224129505,893.2204601296003
2025-11-24 15:00:00+00:00,,690.99664,547.8357961936294,834.1575339102792
2025-11-24 16:00:00+00:00,,1001.78467,858.623836320056,1144.9455740367057
2025-11-24 17:00:00+00:00,,723.1021,579.9412649103758,866.2630026270256
2025-11-24 18:00:00+00:00,,750.02136,606.8604632579953,893.1822009746452
2025-11-24 19:00:00+00:00,,515.7036,372.5427261373142,658.864463853964
2025-11-24 20:00:00+00:00,,494.41342,351.2525533476345,637.5742910642842
2025-11-24 21:00:00+00:00,,619.3253,476.16446584679386,762.4862035634436
2025-11-24 22:00:00+00:00,,485.71,342.54912414901617,628.870861865666
2025-11-24 23:00:00+00:00,,509.43378,366.27291055634475,652.5946482729946
2025-11-25 00:00:00+00:00,,338.9602,195.79932002533747,482.1210577419872
2025-11-25 01:00:00+00:00,,285.72882,142.5679519867137,428.88968970336344
2025-11-25 02:00:00+00:00,,303.3812,160.220328651316,446.5420663679658
2025-11-25 03:00:00+00:00,,268.73975,125.57887461683282,411.9006123334826
2025-11-25 04:00:00+00:00,,235.51382,92.35295341097441,378.6746911276242
2025-11-25 05:00:00+00:00,,178.43794,35.2770637707913,321.5988014874411
2025-11-25 06:00:00+00:00,,128.42973,-14.731148341502717,271.5905893751471
2025-11-25 07:00:00+00:00,,207.4976,64.3367215681368,350.65845928478655
2025-11-25 08:00:00+00:00,,517.31934,374.1584435906107,660.4801813072605
2025-11-25 09:00:00+00:00,,535.29224,392.1313626518891,678.4531003685388
2025-11-25 10:00:00+00:00,,521.2106,378.04971678175997,664.3714544984098
2025-11-25 11:00:00+00:00,,516.7614,373.6005348506588,659.9222725673086
2025-11-25 12:00:00+00:00,,534.3936,391.2327400771611,677.5544777938109
2025-11-25 13:00:00+00:00,,566.84125,423.68036598681414,710.002103703464
2025-11-25 14:00:00+00:00,,777.5359,634.3750163410118,920.6967540576616
2025-11-25 15:00:00+00:00,,666.4981,523.3372110759893,809.6589487926392
2025-11-25 16:00:00+00:00,,688.6094,545.4485225035684,831.7702602202182
2025-11-25 17:00:00+00:00,,566.79034,423.62948253046306,709.9512202471128
2025-11-25 18:00:00+00:00,,544.633,401.4721157811248,687.7938534977745
2025-11-25 19:00:00+00:00,,504.70792,361.54704093740236,647.8687786540521
2025-11-25 20:00:00+00:00,,478.8473,335.6864238046621,622.0081615213119
2025-11-25 21:00:00+00:00,,478.98856,335.82767977607864,622.1494174927284
