Parameter,Value
compute_air_density,True
compute_wind_power_density,True
encode_wind_direction,True
compute_wind_shear,False
compute_wind_ramp,False
compute_air_density_moiust_air_correction,True
dew_point_temperature,True
vapor_pressure,True
gust_factor,True
turbulence_window,0
lags_choice,small
precip_lags_choice,large
drop_raw_main_features,False
drop_raw_wind_features,False
spatial_agg_method,distance_n_turbines
n_estimators,588
learning_rate,0.015545162318423475
max_depth,3
min_child_weight,5
subsample,0.556823009033519
colsample_bytree,0.5774444593344901
reg_alpha,0.0007641178321980314
reg_lambda,0.0004988916226823803
use_base_models_pred_intervals,False
cv_folds_base,40
