number,value,params_colsample_bytree,params_compute_air_density,params_compute_air_density_moiust_air_correction,params_compute_wind_power_density,params_compute_wind_ramp,params_compute_wind_shear,params_dew_point_temperature,params_drop_raw_main_features,params_drop_raw_wind_features,params_encode_wind_direction,params_gust_factor,params_lags_choice,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_precip_lags_choice,params_reg_alpha,params_reg_lambda,params_spatial_agg_method,params_subsample,params_turbulence_window,params_use_base_models_pred_intervals,params_vapor_pressure,state
0,704.1550805150194,0.7233936470187443,False,True,True,True,False,False,False,False,False,True,large,0.01786400981323245,5,5,396,large,0.640279767107191,2.8044520553542974e-05,max,0.5216150519813237,0,True,True,COMPLETE
1,882.9647044862826,0.9476645775305261,False,False,True,True,False,False,True,False,False,True,none,0.1999539887539869,6,2,411,small,0.9976321796224311,0.012292642833150009,None,0.7321672306240186,2,False,False,COMPLETE
2,711.4240344353171,0.8984321992784886,False,False,False,True,True,False,False,False,False,False,small,0.027630593802424958,5,2,509,small,8.881318503692744e-05,1.953356337798518e-07,capacity,0.5712546554771768,2,False,False,COMPLETE
3,736.6560529689153,0.625199492222499,True,True,False,True,True,False,False,False,False,True,none,0.045956658066156675,10,8,470,large,0.8355425630795352,0.0004723659599164633,distance_capacity,0.9785943562205937,2,False,False,COMPLETE
4,811.1453606293093,0.7648471329161425,False,False,False,True,False,False,True,False,True,False,large,0.030772305504505673,3,4,987,none,7.478069514584627e-08,2.6238044731790906e-08,capacity,0.6953974806759309,2,False,False,COMPLETE
5,702.0597184831096,0.8604862180672185,True,False,False,True,False,True,False,False,False,True,large,0.011507910037898717,7,9,496,small,4.452711492673143e-06,1.1328969149406449e-07,None,0.6964909083806978,6,False,True,COMPLETE
6,809.8217351433001,0.9011700535465627,False,True,True,True,False,False,False,True,False,True,small,0.03513786590329286,10,4,344,small,2.992417621286e-05,1.5092226580765039e-05,idw,0.6244572107147042,6,False,True,COMPLETE
7,799.725749744022,0.7755008300377231,False,True,False,True,False,True,False,True,False,False,none,0.01103705617827751,7,1,800,none,1.0237150079481595e-06,0.015372576475838473,idw,0.9202044036411271,6,True,False,COMPLETE
8,805.3390454789047,0.9332970788613832,False,False,True,False,True,False,False,True,False,True,large,0.010040629198505261,3,6,533,small,2.4184342803139136e-06,0.01644407746239265,max,0.5692795493413472,6,False,True,COMPLETE
9,816.828088721824,0.7421726751341274,False,True,False,False,False,False,True,True,True,False,none,0.05579901876623504,10,2,484,none,0.023990186987262893,0.0010040129297385083,None,0.9489495762905544,6,False,True,COMPLETE
10,813.8511061193282,0.519603582914702,True,False,False,False,True,True,True,False,True,True,large,0.11684944899085802,8,10,685,small,0.003121357625666846,9.203860071944287e-07,distance_n_turbines,0.8286708317603239,0,True,True,COMPLETE
11,676.392868535466,0.691165179131343,True,True,True,True,False,True,False,False,False,True,large,0.016912167767679995,5,7,309,large,0.002883319414003388,8.962531518253832e-06,mean,0.5161939046242334,0,True,True,COMPLETE
12,722.3627561080795,0.8410545508590239,True,True,True,True,False,True,False,False,False,True,large,0.017556285489420707,8,8,327,large,0.001203773613351526,1.7294237112352501e-06,mean,0.8176721924922881,0,True,True,COMPLETE
13,690.5892933505911,0.6332658106567234,True,False,True,True,False,True,False,False,False,True,large,0.01649775763458995,5,10,629,large,7.855789491824685e-06,1.0044855794191821e-08,mean,0.6792014861741329,0,True,True,COMPLETE
14,681.5872047619604,0.6396189661585636,True,False,True,False,False,True,False,False,True,True,large,0.018637606430205962,4,7,683,large,1.569520145037221e-08,1.3934039755946675e-08,mean,0.500717197826127,0,True,True,COMPLETE
15,748.5068268574854,0.6491735002734791,True,True,True,False,False,True,False,False,True,True,large,0.08346029252625188,4,7,794,large,1.9716947431208456e-08,0.28913200674143014,mean,0.5005874966949896,0,True,True,COMPLETE
16,699.0166400283024,0.5163247790066787,True,False,True,False,False,True,False,False,True,True,small,0.02217913740141063,4,6,636,large,0.002062033829514303,2.2931848211338543e-06,mean,0.6063648853533601,0,True,True,COMPLETE
17,710.5526338713247,0.5847007898443941,True,True,True,False,False,True,False,False,True,True,large,0.05303183445679904,4,7,758,large,3.275760414580457e-07,4.557084857783328e-05,mean,0.5002194152878698,0,True,True,COMPLETE
18,892.6727536226572,0.6913203908527936,True,False,True,False,True,True,True,True,True,False,large,0.2535938671955383,6,8,917,large,0.01993093970582939,8.611126453696608e-08,distance_capacity,0.6299453403873574,0,True,True,COMPLETE
19,662.7322182586827,0.5774444593344901,True,True,True,False,False,True,False,False,True,True,small,0.015545162318423475,3,5,588,large,0.0007641178321980314,0.0004988916226823803,distance_n_turbines,0.556823009033519,0,True,True,COMPLETE
