number,value,params_cloud_lags_option,params_colsample_bytree,params_compute_air_density,params_compute_cloud_cover_fraction,params_compute_cooling_degree_hours,params_compute_dew_point_spread,params_compute_effective_solar,params_compute_heating_degree_hours,params_compute_humidex,params_compute_pressure_trend,params_compute_rain_indicator,params_compute_temp_gradient,params_compute_wind_chill,params_compute_wind_components,params_compute_wind_power_density,params_compute_wind_speed_gradient,params_drop_basic_meteo_features,params_drop_rad_meteo_features,params_drop_wind_meteo_features,params_lags_target,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_precip_lags_option,params_reg_alpha,params_reg_lambda,params_rolling_temp_option,params_spatial_agg_method,params_subsample,params_temp_lags_option,state
0,942.7593799198063,none,0.6219990926010122,True,False,True,True,False,False,True,False,False,True,True,True,True,True,False,False,True,12.0,0.024130346879879618,5,8,405,none,7.417723049971631e-05,0.0922547374250702,long,distance_population,0.9645141481514511,none,COMPLETE
1,1082.5600432361528,medium,0.7134675167069724,False,False,False,True,False,True,True,False,True,False,False,True,True,True,False,True,False,6.0,0.0928885429446186,10,2,515,medium,1.5883235311235152e-06,0.0005279949850234475,long,population,0.5341404222614814,medium,COMPLETE
2,1030.6002870527461,small,0.6139422391865941,False,False,True,True,False,True,False,False,False,False,False,False,False,False,True,True,True,12.0,0.021638456810934917,4,5,656,none,2.1562844110568517e-08,0.1455850914846441,none,distance_population,0.8097792041607312,none,COMPLETE
3,1133.447747561933,none,0.5782514769785864,True,False,False,True,True,False,True,False,False,True,False,False,True,False,False,True,False,1.0,0.03639962439160012,8,8,477,medium,0.5786227432045268,3.333175478402652e-05,short,distance_energy,0.6656339079779148,small,COMPLETE
4,1343.5092530866157,none,0.7673885571796006,True,True,True,True,False,False,True,True,False,False,False,True,True,False,True,True,True,,0.02059931037678885,8,10,457,none,0.004291317309116278,8.573994572229114e-07,short,distance_population,0.934080268588582,none,COMPLETE
5,1279.9849667758217,small,0.5254021609623567,True,False,False,False,False,False,False,False,False,True,False,True,False,True,True,True,False,,0.010268568434311879,8,9,887,small,3.052161990422955e-07,4.2693253814898564e-08,short,energy,0.7274307144707668,medium,COMPLETE
6,1376.6203209904743,none,0.8149031454105286,False,True,True,False,True,True,False,False,False,True,False,True,False,False,True,False,True,12.0,0.011845488126783767,6,4,334,medium,0.02696010654176395,0.0012254012205662307,short,energy,0.7394293973203383,none,COMPLETE
7,1317.2996061621532,medium,0.883904185193664,False,True,False,False,False,True,True,True,False,False,True,True,False,True,True,False,False,,0.010147103326962,10,1,857,medium,0.15920099320778544,0.7403614798064867,long,distance_energy,0.8247429914959103,none,COMPLETE
8,1391.5512191763653,none,0.7753086704325108,False,True,True,True,False,False,False,True,False,True,False,False,False,True,True,False,False,,0.16747295737258436,3,9,982,small,0.5054643889190512,0.007068234169642504,none,population,0.5236810471820007,small,COMPLETE
9,1007.6283426088697,medium,0.5586032195427473,True,False,True,True,True,True,False,False,True,False,False,False,False,True,True,False,False,12.0,0.09395745984858955,10,6,657,small,0.000514666849483062,6.522997198151914e-05,none,distance_population,0.8977353115890438,none,COMPLETE
10,1090.7232785338203,none,0.9618957232540338,True,False,True,False,True,False,True,True,True,True,True,True,True,True,False,False,True,1.0,0.0447427820617334,5,7,357,none,1.5257273385910333e-05,0.02918763957087519,long,mean,0.9857518115960341,small,COMPLETE
11,1374.6318279746768,medium,0.648761366776804,True,False,True,True,True,True,False,False,True,False,True,False,True,True,False,False,True,12.0,0.09349570679273643,6,6,671,small,0.00047005640696771707,2.8332619883830355e-05,none,distance_population,0.9154961254941179,none,COMPLETE
12,1354.9662211627517,medium,0.505385932128163,True,False,True,True,True,False,False,False,True,False,True,False,True,True,False,False,True,12.0,0.26826878479006977,4,4,756,none,6.948076762573645e-05,2.5840362975021084e-06,long,max,0.8865920632884896,none,COMPLETE
13,1091.0755261792008,medium,0.6741940799956829,True,False,True,True,True,True,True,False,True,True,True,False,False,True,False,False,False,12.0,0.08576931263883551,7,7,583,small,0.000964081335218679,0.00034311875723751814,none,idw,0.9994626176602157,none,COMPLETE
14,1117.928440123456,small,0.575328897815689,True,False,True,True,False,True,True,False,True,True,True,True,False,True,True,False,False,6.0,0.02295835194622304,5,6,758,small,1.4414889934204416e-05,0.008482978307541656,long,None,0.8704225447312203,none,COMPLETE
15,967.1025331081469,none,0.5737682869461023,True,False,True,True,True,False,False,False,True,False,True,False,True,True,False,False,True,12.0,0.061522951967671484,9,8,583,none,0.007569720289344685,9.322006738405578e-06,none,distance_population,0.8090111301624001,medium,COMPLETE
16,933.7377185296215,none,0.667136255182848,True,False,True,True,True,False,True,False,False,False,True,False,True,True,False,False,True,12.0,0.032845662826066574,9,10,410,none,0.01320101732968595,1.5593881108520714e-06,none,distance_population,0.6345257542131855,medium,COMPLETE
17,1146.960570641757,none,0.6976444021600575,True,False,True,True,False,False,True,False,False,True,True,True,True,True,False,False,True,12.0,0.03195091438232516,7,10,421,none,0.02981822724226591,1.206412521875319e-07,long,None,0.6160112442443779,medium,COMPLETE
