Parameter,Value
compute_heating_degree_hours,False
compute_cooling_degree_hours,True
compute_dew_point_spread,True
compute_temp_gradient,False
compute_wind_chill,True
compute_humidex,True
compute_wind_components,False
compute_wind_power_density,True
compute_pressure_trend,False
compute_wind_speed_gradient,True
compute_air_density,True
compute_rain_indicator,False
compute_cloud_cover_fraction,False
compute_effective_solar,True
temp_lags_option,medium
precip_lags_option,none
cloud_lags_option,none
rolling_temp_option,none
drop_basic_meteo_features,False
drop_wind_meteo_features,True
drop_rad_meteo_features,False
spatial_agg_method,distance_population
lags_target,12
n_estimators,394
learning_rate,0.044675256580738995
max_depth,9
min_child_weight,7
subsample,0.7710190775100408
colsample_bytree,0.6306797430418345
reg_alpha,0.005570720693027204
reg_lambda,3.5685682836155234e-06
