Parameter,Value
compute_cloud_cover_fraction,False
compute_clear_sky_fraction,False
use_solar_geometry,False
compute_air_density,False
compute_air_density_moist,False
compute_direct_ratio,True
compute_diffuse_ratio,True
compute_dni_ratio,True
compute_global_tilted_ratio,True
dew_point_temperature,False
vapor_pressure,True
precip_lags_option,none
cloud_lags_option,none
shortwave_lags_option,small
drop_raw_solar_features,True
drop_raw_features,False
spatial_agg_method,idw
lags_target,
n_estimators,627
learning_rate,0.051306488973024644
num_leaves,108
max_depth,3
min_child_samples,99
subsample,0.9193013786917316
colsample_bytree,0.5504228964104104
reg_alpha,0.00018373224711097248
reg_lambda,0.0003747447394592516
min_split_gain,0.23085368840341472
