number,value,params_cloud_lags_option,params_colsample_bytree,params_compute_air_density,params_compute_air_density_moist,params_compute_clear_sky_fraction,params_compute_cloud_cover_fraction,params_compute_diffuse_ratio,params_compute_direct_ratio,params_compute_dni_ratio,params_compute_global_tilted_ratio,params_dew_point_temperature,params_drop_raw_features,params_drop_raw_solar_features,params_lags_target,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_precip_lags_option,params_reg_alpha,params_reg_lambda,params_shortwave_lags_option,params_spatial_agg_method,params_subsample,params_use_solar_geometry,params_vapor_pressure,state
0,1253.7428138277012,medium,0.8053782286797491,True,True,False,True,False,False,False,True,False,False,True,,0.06281061064474405,14,57,0.28495402474777326,421,22,small,0.012799598468954806,5.67937946086287e-07,none,capacity,0.8809541745672208,True,False,COMPLETE
1,1258.7102943712773,medium,0.539593751215141,False,False,False,True,False,True,False,False,True,True,True,,0.020848064227566694,5,19,0.4269640910294102,552,143,small,0.008268695828611727,0.030930918758580592,small,capacity,0.7620831983344657,False,True,COMPLETE
2,1181.4213059006358,none,0.8203341886076458,True,False,False,True,False,True,True,True,True,True,True,,0.06378020961406018,14,33,0.21407924935806455,715,35,none,6.717617218773424e-06,0.0004739000224780119,large,distance_n_panels,0.8856089343785524,False,True,COMPLETE
3,1390.0980459557086,large,0.7804428166049107,True,False,True,False,False,True,False,False,False,True,False,6.0,0.13422197544807257,16,90,0.33212608521446674,882,57,small,0.1350743336930879,9.88515187632749e-06,small,None,0.7615682295651067,True,True,COMPLETE
4,1419.9824218245583,medium,0.9648788257155123,False,True,True,True,False,False,True,False,True,True,False,12.0,0.018188030975740784,10,14,0.008482392436322816,806,135,none,1.909564141278345e-06,0.4080186811111062,large,None,0.6674739848563057,True,False,COMPLETE
5,1218.4613515588576,medium,0.5398746354006932,False,False,True,False,True,True,False,True,False,False,True,,0.011498359407152142,8,84,0.1258596179597528,782,118,none,0.0007661271972459783,1.0222503996597855e-08,small,mean,0.8443021436558059,False,True,COMPLETE
6,1248.4778945501328,medium,0.8472324786850145,True,False,True,False,False,False,True,True,True,True,False,12.0,0.01184890736304649,7,50,0.041415886047868444,941,46,small,0.022218821258382617,0.04196987957449389,large,n_panels,0.8657029290378158,False,True,COMPLETE
7,1418.7844191061467,small,0.6947766338002658,True,False,True,True,True,True,False,False,False,True,True,6.0,0.21972149944786756,10,66,0.3303730017798595,527,36,none,0.26867718645039634,1.1126819212401924e-07,medium,mean,0.5959714479578917,True,False,COMPLETE
8,1304.84273710905,small,0.6997453888616807,False,True,False,True,False,False,False,True,True,False,True,1.0,0.07255416418451523,12,28,0.12590960125322104,464,28,none,7.043064106569306e-06,0.05582190670651321,large,max,0.9853040935828614,True,False,COMPLETE
9,1283.7467630780245,medium,0.8189766822371047,False,True,True,True,False,False,True,False,False,False,True,1.0,0.09168774047905796,9,17,0.09983291988783899,407,82,large,0.0026352563310441273,2.896461671803792e-07,none,distance_capacity,0.9376014303266388,False,True,COMPLETE
10,1232.1827219054815,none,0.9986268337813937,True,False,False,False,True,True,True,True,True,True,False,,0.03619104172659168,16,43,0.2137244757517138,674,79,large,1.457841437005204e-08,0.00020717675778054886,medium,distance_n_panels,0.6821950898004377,False,True,COMPLETE
11,1188.257832627347,none,0.5118065380075046,False,False,False,False,True,True,True,True,False,False,True,,0.03614265297397116,3,96,0.2122966745064051,700,105,none,8.822417763169709e-05,0.0002742831213692642,small,idw,0.8368606801162289,False,True,COMPLETE
12,1181.361512461436,none,0.624132790618021,False,False,False,False,True,True,True,True,False,False,True,,0.033235380569461265,3,99,0.21262997845444426,682,108,none,1.6772169544136717e-05,0.0003645855044671216,large,idw,0.5012761562645551,False,True,COMPLETE
13,1246.24932413256,none,0.6233266558054441,True,False,False,False,True,True,True,True,True,False,True,,0.04304284318814311,13,75,0.19547337073156462,300,74,none,4.180771600306999e-07,0.001276661526308884,large,distance_n_panels,0.5162090088369494,False,True,COMPLETE
14,1262.587135034865,none,0.8814809652641835,True,False,False,True,True,True,True,True,True,True,True,,0.12455357307567666,3,33,0.487269778852744,627,13,none,7.240469347640832e-05,2.162293283795525e-05,large,idw,0.5277512982465746,False,True,COMPLETE
15,1239.4121518482518,none,0.6409448540554135,False,False,False,False,True,True,True,True,False,False,True,,0.024526981668572652,5,40,0.2808645714526467,775,101,none,1.1744527851693142e-07,0.0017167880995911013,large,distance_n_panels,0.6900660810568616,False,True,COMPLETE
16,1324.7373391279991,large,0.9167625627702192,False,False,False,False,False,True,True,True,False,False,True,1.0,0.05113291978168625,12,62,0.16690286125454928,605,60,large,3.2656189800609935e-05,8.549488992878262e-06,large,idw,0.5994534615319134,False,True,COMPLETE
17,1316.1466051790064,none,0.5969636129878764,True,False,False,True,True,True,True,True,True,True,True,12.0,0.09898491300210566,14,80,0.3472227590232131,718,119,none,5.524057293532941e-06,0.0018886349201686903,large,distance_capacity,0.9335663028166993,False,True,COMPLETE
18,1313.371589813447,none,0.7130369244871041,True,True,False,True,False,True,True,True,False,True,False,6.0,0.19666189053536007,6,71,0.25548085826686573,849,93,none,0.0005531969963739536,4.052048593992493e-05,medium,max,0.5903632525395736,False,False,COMPLETE
19,1243.8278202156419,none,0.7465232946476124,False,False,False,False,True,True,True,True,True,False,True,,0.029785734311888933,11,48,0.39405133720981717,985,121,large,6.353250853439266e-07,0.0054858321683763245,none,n_panels,0.7986690895355288,False,True,COMPLETE
20,1275.2815706034455,small,0.660436377360432,False,False,False,False,False,True,True,True,False,True,True,,0.284680395128208,15,26,0.08100322380092068,742,60,none,1.48209954146807e-05,2.4344976444024127e-06,large,idw,0.7166951595145701,False,True,COMPLETE
21,1191.5272279280077,none,0.5137168662236387,False,False,False,False,True,True,True,True,False,False,True,,0.036018603453721404,4,100,0.1994640570552485,704,103,none,0.0006382996178494196,0.00016763754015852744,small,idw,0.8232662183941267,False,True,COMPLETE
22,1169.3762468398256,none,0.5504228964104104,False,False,False,False,True,True,True,True,False,False,True,,0.051306488973024644,3,99,0.23085368840341472,627,108,none,0.00018373224711097248,0.0003747447394592516,small,idw,0.9193013786917316,False,True,COMPLETE
23,1231.1340487765783,none,0.5984878209561688,False,False,False,False,True,True,True,True,False,False,True,,0.053974396056250186,4,91,0.16087345844842504,578,131,none,0.00021276139118479853,0.008170722304627731,small,distance_n_panels,0.9080031803862741,False,True,COMPLETE
24,1205.3710817470458,large,0.5710837501176078,False,False,False,False,True,True,True,True,False,False,True,,0.07708935300752545,7,5,0.25406287363901486,657,88,none,2.372183930796258e-06,0.0005280156176329439,large,idw,0.9606786420212895,False,True,COMPLETE
25,1197.744404883457,none,0.7311860044615086,False,False,False,False,True,True,True,True,False,False,True,,0.04804846017910532,5,89,0.3011351944424413,490,150,none,2.5158248779362208e-05,4.906748705352541e-05,small,idw,0.9974913604542185,False,True,COMPLETE
26,1337.978022355601,none,0.6721818100051828,True,True,False,True,True,False,True,False,True,False,False,6.0,0.016821352061279632,3,100,0.24048787669356428,614,109,none,4.233503029163311e-08,0.00908942954851222,medium,distance_n_panels,0.9126224885638292,True,False,COMPLETE
27,1319.2063653186697,none,0.7726557564512093,False,False,False,False,True,True,True,True,False,False,True,12.0,0.028663363899998077,8,80,0.17197332572285717,835,72,none,9.392331007985079e-07,0.0005763880567414896,none,idw,0.8063971349909784,False,True,COMPLETE
28,1232.737122499297,none,0.5882245560760069,True,False,False,True,False,True,True,True,True,True,True,1.0,0.06523678462547065,6,37,0.23816944656326056,655,128,large,0.00016172345047690872,0.49134770897002233,large,mean,0.6403563691121652,False,True,COMPLETE
29,1264.9196730275364,small,0.8323648189620573,True,True,False,True,False,False,False,True,False,False,True,,0.06096387420006028,4,58,0.27846915057452254,753,15,small,1.7482145925177459e-07,1.7420883809741317e-06,none,capacity,0.8775129804607887,True,False,COMPLETE
