number,value,params_bagging_temperature,params_border_count,params_colsample_bylevel,params_depth,params_grow_policy,params_iterations,params_l2_leaf_reg,params_leaf_estimation_iterations,params_learning_rate,params_random_strength,state
0,0.30238528866950154,0.5162939792092254,87,0.8931893526738927,12,Depthwise,883,8.846590070625683e-08,1,0.01093575448166931,2.6167454471271895e-08,COMPLETE
1,0.30004651116446135,0.21881150064605637,101,0.6849813371459557,8,Lossguide,691,2.3745350046960665e-07,4,0.05251758056017614,0.7424900912792063,COMPLETE
2,0.299889722496603,0.018809325581283898,96,0.9458655004147074,11,Lossguide,655,4.085771828456559e-06,3,0.05201647117470799,5.398070498791532e-07,COMPLETE
3,0.3041439698523134,0.6756335572713668,192,0.5741936556049054,5,Depthwise,672,0.00013478155641616019,10,0.022787348775141113,4.9060407414750514e-08,COMPLETE
4,0.30921024713794,0.9046008846953197,196,0.6640341751235649,11,Depthwise,948,1.4345127377662484e-05,7,0.11661383314850082,5.427873748978186e-07,COMPLETE
5,0.29947169549928515,0.915844667567596,36,0.756822356284401,6,Lossguide,769,0.0006586004660753528,3,0.026122946634418276,1.2873458093087625e-08,COMPLETE
6,0.3011296033866171,0.0401488545740003,38,0.7992883427160575,4,Lossguide,606,6.364661664937449e-07,8,0.06681314354351908,0.003923894543370318,COMPLETE
7,0.30346254898351455,0.4379389832949272,73,0.6201400245294038,5,Lossguide,581,5.3798953908674604e-08,5,0.05884308368935616,5.363117310319247e-05,COMPLETE
8,0.32269445537926544,0.7986548070674327,191,0.6440906412871072,4,SymmetricTree,383,1.4070450702329928e-06,2,0.022383682061890568,0.008568536715054477,COMPLETE
9,0.30318454302360665,0.12840115353584303,156,0.6736630096434266,5,SymmetricTree,783,7.837205303908258e-05,4,0.021659726149510894,0.6298778418273805,COMPLETE
10,0.33659297873582006,0.9718146934733315,234,0.7982287954658643,8,Lossguide,423,0.07515955001686567,7,0.27991635785984514,2.357347437873848e-05,COMPLETE
11,0.29832396934791905,0.3319428365760766,41,0.9898593776901115,10,Lossguide,808,0.03188846158283274,3,0.04202583895363638,1.164152107572585e-06,COMPLETE
12,0.2998385843736212,0.34141652418564367,37,0.5029337990947114,9,Lossguide,826,0.02010391859912741,1,0.03163519301591773,1.4542564431547608e-06,COMPLETE
13,0.30765010794068404,0.6156125817243783,63,0.8887511224931587,7,Lossguide,981,6.103848598140427,3,0.011186613822445363,1.1482563077070218e-08,COMPLETE
14,0.31558549252862655,0.3005931640667165,134,0.7926304074158859,9,Lossguide,780,0.005396083913114534,5,0.13965994977699314,5.931361798306242e-06,COMPLETE
15,0.29914486266152196,0.777527710724532,133,0.994052028882464,7,SymmetricTree,546,0.9151589116744993,3,0.03778522592874122,1.201265213377221e-07,COMPLETE
16,0.3078386450467909,0.763613925358382,133,0.9978965502294965,10,SymmetricTree,463,0.9410026998343498,2,0.0960192088859409,1.6436513479906705e-07,COMPLETE
17,0.29872125577407826,0.5086124926596916,255,0.9822779063407692,7,SymmetricTree,518,0.30757263605323704,6,0.03949712082213795,0.0006138604270401676,COMPLETE
18,0.3083660269302875,0.4598092600854121,237,0.8897914300635731,10,SymmetricTree,320,0.002453991475358091,6,0.016457864163278362,0.0006934549814430219,COMPLETE
19,0.31514246446118865,0.5647168668228667,251,0.9406969204233857,7,SymmetricTree,473,0.13481395900460677,9,0.19838388071502672,0.0002555591451325707,COMPLETE
