number,value,params_cloud_lags_option,params_colsample_bytree,params_compute_air_density,params_compute_cloud_cover_fraction,params_compute_cooling_degree_hours,params_compute_dew_point_spread,params_compute_effective_solar,params_compute_heating_degree_hours,params_compute_humidex,params_compute_pressure_trend,params_compute_rain_indicator,params_compute_temp_gradient,params_compute_wind_chill,params_compute_wind_components,params_compute_wind_power_density,params_compute_wind_speed_gradient,params_drop_basic_meteo_features,params_drop_rad_meteo_features,params_drop_wind_meteo_features,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_precip_lags_option,params_reg_alpha,params_reg_lambda,params_rolling_temp_option,params_spatial_agg_method,params_subsample,params_temp_lags_option,params_use_base_models_pred_intervals,state
0,1392.2272382745361,medium,0.77980107483773,True,True,False,True,True,False,True,True,True,False,False,False,True,True,False,True,True,0.05098029124724848,12,7,0.4372409779156012,669,104,none,2.1485674719949052e-05,0.0020123894358991426,long,distance_population,0.5685197141052346,none,False,COMPLETE
1,1360.9333910184441,medium,0.7957444393198989,False,True,True,True,True,False,True,True,True,True,True,False,True,True,False,False,True,0.0905464577919612,16,86,0.1197173181832909,350,123,medium,1.2114689211807705e-08,1.9531181999129352e-08,none,energy,0.790012857812488,none,True,COMPLETE
2,1349.5286648932902,medium,0.6535194499731594,False,False,False,False,True,True,False,True,True,False,False,False,False,True,True,True,True,0.10289684992533044,3,10,0.06803941089238646,862,14,medium,0.00010695837154337249,8.422389027960139e-05,long,max,0.8848315118269159,small,False,COMPLETE
3,1347.1303883351013,small,0.9393047980453765,True,False,True,False,True,True,False,True,True,False,False,False,True,False,True,False,True,0.021883124589168402,11,85,0.07077981099218783,359,95,none,5.307686111085007e-06,2.9260914357833647e-08,short,distance_population,0.6159368760430564,none,True,COMPLETE
4,1303.1175569793631,small,0.976730766765984,False,False,True,True,True,False,False,False,True,True,False,False,True,True,True,False,True,0.1873476568285996,12,8,0.31504835300268946,449,41,medium,1.924525868697224e-06,1.0276421916851542e-05,long,max,0.7501589292596531,none,False,COMPLETE
5,1290.0291140268316,small,0.6104061687725857,False,True,True,False,True,True,False,True,True,False,False,False,True,True,True,False,False,0.0748016889597853,6,65,0.48615598029978824,652,15,small,0.0024533457011419696,0.005200036558109587,short,population,0.5029025156016409,small,True,COMPLETE
6,1368.7372286442248,none,0.5831990364404448,True,True,True,True,True,True,True,True,True,False,False,True,True,True,False,True,True,0.026091992477305093,6,72,0.3826560648896928,548,21,medium,2.3520551356713295e-05,0.0015006359833758772,none,energy,0.8039870781726589,medium,False,COMPLETE
7,1335.3534412484298,small,0.8818171240517558,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,False,True,0.050526148125753144,15,36,0.11780927817178177,984,35,none,0.003805856436656278,0.2231759132224125,short,distance_population,0.907745376518118,medium,True,COMPLETE
8,1379.3415490410637,none,0.5268967732013605,True,True,True,False,True,False,False,True,True,True,False,True,True,True,False,False,False,0.09500173887750842,3,71,0.269714698037798,726,18,none,0.25347519322728057,0.21447140975564402,short,max,0.6503013137612641,small,True,COMPLETE
9,1233.0140221253162,none,0.534320459037007,False,True,False,True,True,False,True,True,True,False,True,True,False,True,True,False,False,0.04669062699151462,11,11,0.4090489591407348,905,61,small,0.0007030650967365819,0.02443644698520185,long,distance_energy,0.783138153663544,none,False,COMPLETE
10,1354.9098212729707,none,0.6895917686195527,False,False,False,True,False,False,True,False,False,False,True,True,False,False,True,True,False,0.010570897816245688,8,34,0.21781955710325906,998,65,small,0.013051127327973202,3.453239451987662e-06,long,distance_energy,0.9640924289590278,none,False,COMPLETE
11,1319.1326276135187,none,0.5003947268546471,False,True,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False,0.23933301166087678,7,47,0.4760208345747655,806,63,small,0.0013479523586258358,0.009183580136235495,short,population,0.5270524987683375,small,True,COMPLETE
12,1364.2937236022192,small,0.606442562018588,False,True,False,False,False,False,True,True,False,False,True,True,False,True,True,False,False,0.03501781427626179,10,61,0.49856379598138156,539,53,small,0.6822509692062508,0.027292844164366673,long,population,0.6664239892990786,small,False,COMPLETE
13,1299.8102222702655,none,0.6932111282793734,False,True,False,False,True,True,False,True,True,False,True,True,False,True,True,False,False,0.15121206705313847,5,27,0.40201103208718775,845,142,small,0.00044784881352744407,0.6997483013251559,short,distance_energy,0.7050189363406376,small,True,COMPLETE
14,1359.3470348082126,small,0.5775194594207771,False,True,True,True,False,True,False,False,False,False,True,False,False,False,True,False,False,0.014692022955220044,8,57,0.3453674825658548,607,81,small,0.03308007402828672,0.0003849089056569061,none,None,0.8506399089647221,medium,False,COMPLETE
15,1330.5091428724436,small,0.6387558840572973,False,True,False,False,True,False,True,True,True,False,True,True,False,True,True,False,False,0.06938689184277935,14,97,0.42478438196688006,753,36,small,7.988276636578191e-07,0.018759016480974614,long,mean,0.5140682283549205,none,True,COMPLETE
16,1277.6111477364914,none,0.5480872680094974,False,True,True,False,True,True,False,True,True,False,True,True,True,True,True,False,False,0.038163981755279755,9,25,0.20053996250993691,898,81,small,0.045518572828513106,2.069466229027294e-05,short,idw,0.7181411056313542,small,False,COMPLETE
17,1259.9226398623234,none,0.549877617248979,False,True,False,True,True,False,True,True,True,False,True,True,False,True,True,False,False,0.03524984127351061,9,21,0.2085614199529215,915,82,small,0.06274696482207695,1.333743623133277e-06,long,idw,0.723440139514706,none,False,COMPLETE
18,1316.6035862318593,none,0.7318671154802586,False,False,False,True,False,False,True,False,False,True,True,True,False,False,False,True,False,0.022900747274934557,12,19,0.16059919033293799,922,103,small,0.13397617154960262,5.632546570806411e-07,long,idw,0.7706257999441332,none,False,COMPLETE
19,1343.4624630144922,none,0.8193383379120812,False,True,False,True,True,False,True,True,True,False,True,True,False,True,True,False,False,0.036223405698264134,14,44,0.3175664006091068,761,65,small,0.00016750340142322645,2.1711793944825697e-07,long,idw,0.8470259902098178,none,False,COMPLETE
